PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Zhang, YY; Wierbowski, SD; Yu, HY				Zhang, Yingying; Wierbowski, Shayne D.; Yu, Haiyuan			Combining views for newly sequenced organisms	NATURE MACHINE INTELLIGENCE			English	News Item							PREDICTION	Newly sequenced organisms present a challenge for protein function prediction, as they lack experimental characterisation. A network-propagation approach that integrates functional network relationships with protein annotations, transferred from well-studied organisms, produces a more complete picture of the possible protein functions.	[Zhang, Yingying; Wierbowski, Shayne D.; Yu, Haiyuan] Cornell Univ, Dept Computat Biol, Ithaca, NY 14850 USA; [Zhang, Yingying; Wierbowski, Shayne D.; Yu, Haiyuan] Cornell Univ, Weill Inst Cell & Mol Biol, Ithaca, NY 14850 USA; [Zhang, Yingying] Cornell Univ, Dept Mol Biol & Genet, Ithaca, NY USA	Cornell University; Cornell University; Cornell University	Yu, HY (corresponding author), Cornell Univ, Dept Computat Biol, Ithaca, NY 14850 USA.; Yu, HY (corresponding author), Cornell Univ, Weill Inst Cell & Mol Biol, Ithaca, NY 14850 USA.	haiyuan.yu@cornell.edu		Zhang, Yingying/0000-0003-3819-5467				Gligorijevic V, 2021, NAT COMMUN, V12, DOI 10.1038/s41467-021-23303-9; Jensen LJ, 2002, J MOL BIOL, V319, P1257, DOI 10.1016/S0022-2836(02)00379-0; Mitchell AL, 2019, NUCLEIC ACIDS RES, V47, pD351, DOI 10.1093/nar/gky1100; Torres M, 2021, NAT MACH INTELL, V3, P1050, DOI 10.1038/s42256-021-00419-7; Wheeler TJ, 2013, BIOINFORMATICS, V29, P2487, DOI 10.1093/bioinformatics/btt403; Zhang S., 2019, COMPUT SOC NETWORKS, V6, P11, DOI [DOI 10.1186/S40649-019-0069-Y, 10.1186/s40649-019-0069-y]; Zhao YW, 2020, FRONT GENET, V11, DOI 10.3389/fgene.2020.00400	7	0	0	4	5	NATURE PORTFOLIO	BERLIN	HEIDELBERGER PLATZ 3, BERLIN, 14197, GERMANY		2522-5839		NAT MACH INTELL	Nat. Mach. Intell.	DEC	2021	3	12					1011	1012		10.1038/s42256-021-00426-8	http://dx.doi.org/10.1038/s42256-021-00426-8		DEC 2021	2	Computer Science, Artificial Intelligence; Computer Science, Interdisciplinary Applications	Science Citation Index Expanded (SCI-EXPANDED)	Computer Science	XS6AH					2022-12-18	WOS:000728451600001
J	Colledanchise, M				Colledanchise, Michele			Address behaviour vulnerabilities in the next generation of autonomous robots	NATURE MACHINE INTELLIGENCE			English	Editorial Material									[Colledanchise, Michele] Ist Italiano Tecnol IIT, Genoa, Italy	Istituto Italiano di Tecnologia - IIT	Colledanchise, M (corresponding author), Ist Italiano Tecnol IIT, Genoa, Italy.	michele.colledanchise@iit.it						Ackerman E., 2019, IEEE SPECT, V6, P103; Bogue R, 2014, IND ROBOT, V41, P487, DOI 10.1108/IR-07-2014-0364; Brown DS, 2019, AAAI CONF ARTIF INTE, P7749; Clarke G., 2017, CLIN GUIDE TRANSFUSI, P1; Ghallab M, 2014, ARTIF INTELL, V208, P1, DOI 10.1016/j.artint.2013.11.002; Joe C., 2020, P 2020 ACM IEEE INT, P211; Kaelbling LP, 2013, INT J ROBOT RES, V32, P1194, DOI 10.1177/0278364913484072; Luckcuck M, 2019, ACM COMPUT SURV, V52, DOI 10.1145/3342355; Murino G., 2019, 11 INT C CYB CONFL C, V900, P1; Pang GS, 2021, KDD '21: PROCEEDINGS OF THE 27TH ACM SIGKDD CONFERENCE ON KNOWLEDGE DISCOVERY & DATA MINING, P1298, DOI 10.1145/3447548.3467417; Sanchez C, 2019, FORM METHOD SYST DES, V54, P279, DOI 10.1007/s10703-019-00337-w	11	0	0	1	2	NATURE PORTFOLIO	BERLIN	HEIDELBERGER PLATZ 3, BERLIN, 14197, GERMANY		2522-5839		NAT MACH INTELL	Nat. Mach. Intell.	NOV	2021	3	11					927	928		10.1038/s42256-021-00415-x	http://dx.doi.org/10.1038/s42256-021-00415-x			2	Computer Science, Artificial Intelligence; Computer Science, Interdisciplinary Applications	Science Citation Index Expanded (SCI-EXPANDED)	Computer Science	WY5SG		Green Submitted			2022-12-18	WOS:000719338000002
J	[Anonymous]				[Anonymous]			Optimizing the synergy between physics and machine learning	NATURE MACHINE INTELLIGENCE			English	Editorial Material																			0	0	0	1	5	NATURE PORTFOLIO	BERLIN	HEIDELBERGER PLATZ 3, BERLIN, 14197, GERMANY		2522-5839		NAT MACH INTELL	Nat. Mach. Intell.	NOV	2021	3	11					925	925		10.1038/s42256-021-00416-w	http://dx.doi.org/10.1038/s42256-021-00416-w			1	Computer Science, Artificial Intelligence; Computer Science, Interdisciplinary Applications	Science Citation Index Expanded (SCI-EXPANDED)	Computer Science	WY5SG		Bronze			2022-12-18	WOS:000719338000001
J	[Anonymous]				[Anonymous]			Robotic body augmentation Can the human brain cope with controlling an extra robotic arm or digit added to the body?	NATURE MACHINE INTELLIGENCE			English	Editorial Material								Can the human brain cope with controlling an extra robotic arm or digit added to the body?											0	0	0	0	3	NATURE PORTFOLIO	BERLIN	HEIDELBERGER PLATZ 3, BERLIN, 14197, GERMANY		2522-5839		NAT MACH INTELL	Nat. Mach. Intell.	OCT	2021	3	10					837	837		10.1038/s42256-021-00406-y	http://dx.doi.org/10.1038/s42256-021-00406-y			1	Computer Science, Artificial Intelligence; Computer Science, Interdisciplinary Applications	Science Citation Index Expanded (SCI-EXPANDED)	Computer Science	WI6LY		Bronze			2022-12-18	WOS:000708470700001
J	Ienca, M; Vayena, E				Ienca, Marcello; Vayena, Effy			Ethical requirements for responsible research with hacked data	NATURE MACHINE INTELLIGENCE			English	Article							GEOGRAPHY; WAR	The ethical use of publicly available datasets with human data for which consent has not been explicitly given needs urgent attention from researchers, funders, research institutes and publishers. A specific challenging case is research involving hacked data and this Perspective discusses whether and under what conditions it is morally and ethically justified to conduct such research. Hacked data-data obtained in an unauthorized manner through illicit access to a computer or computer network-are increasingly being used in scientific research. Examples include conflict modelling studies based on WikiLeaks datasets, and studies on sexual behaviour based on data leaked from Ashley Madison, a dating website hacked in 2015. Studies of this kind are prima facie lawful because the researchers who processed the data had no involvement in the data breach itself, and the hacked datasets were made publicly available. However, research integrity is not simply reducible to lawfulness. We contend that the ethical acceptability of using datasets of illicit origin cannot simply be presumed, but requires ethical justification. Therefore, the scientific community is urged to address a fundamental ethical question: whether, and under which conditions, conducting research using hacked data can be considered morally justifiable behaviour. This contribution will discuss and critically evaluate the ethical boundaries of research involving hacked data. This emerging ethical dilemma will be examined by analogy with previous debates on the ethics of research using data of unethical origin, such as research with data from Nazi medical experiments. Furthermore, we discuss the compatibility of research involving hacked data with current research ethics instruments such as the Belmont Report and the Oviedo Convention. We posit that research using hacked data should be deemed ethically problematic. However, exceptions may be acknowledged, depending on how the data are processed and the overall value of the study to society. To this end, we propose six ethical and procedural requirements for conducting research with hacked data in an ethically responsible manner.	[Ienca, Marcello; Vayena, Effy] Swiss Fed Inst Technol, Dept Hlth Sci & Technol, Zurich, Switzerland; [Ienca, Marcello] Swiss Fed Inst Technol, Coll Humanities, Lausanne, Switzerland	Swiss Federal Institutes of Technology Domain; ETH Zurich; Swiss Federal Institutes of Technology Domain; Ecole Polytechnique Federale de Lausanne	Ienca, M (corresponding author), Swiss Fed Inst Technol, Dept Hlth Sci & Technol, Zurich, Switzerland.; Ienca, M (corresponding author), Swiss Fed Inst Technol, Coll Humanities, Lausanne, Switzerland.	marcello.ienca@epfl.ch	Vayena, Effy/ABD-8272-2021	Vayena, Effy/0000-0003-1303-5467; Ienca, Marcello/0000-0001-8835-5444				[Anonymous], 2018, NATURE, V555, P559, DOI 10.1038/d41586-018-03857-3; Arfer KB, 2019, ARCH SEX BEHAV, V48, P715, DOI 10.1007/s10508-018-1244-1; Baraniuk C., 2015, BBC NEWS ONLINE; BEECHER HK, 1966, NEW ENGL J MED, V274, P1354, DOI 10.1056/NEJM196606162742405; Boustead AE, 2020, PS-POLIT SCI POLIT, V53, P505, DOI 10.1017/S1049096520000323; Chohaney ML, 2018, GEOGR REV, V108, P69, DOI 10.1111/gere.12225; Eynon R., 2017, SAGE HDB ONLINE RES, V2, P19; Ferretti A, 2021, BMC MED ETHICS, V22, DOI 10.1186/s12910-021-00616-4; Franzke A. S., 2020, INTERNET RES ETHICAL, P3; Griffin JM, 2019, P NATL ACAD SCI USA, V116, P16268, DOI 10.1073/pnas.1905329116; Ienca M, 2018, SWISS MED WKLY, V148, DOI 10.4414/smw.2018.14688; Jones S., 2016, GEORGIA STATE U LAW, V33, P455; Kahn JP, 2014, P NATL ACAD SCI USA, V111, P13677, DOI 10.1073/pnas.1416405111; Linke AM, 2012, INT INTERACT, V38, P402, DOI 10.1080/03050629.2012.696996; Mansfield-Devine Steve, 2015, Network Security, V2015, P8, DOI 10.1016/S1353-4858(15)30080-5; McCoy TH, 2018, JAMA-J AM MED ASSOC, V320, P1282, DOI 10.1001/jama.2018.9222; Michael GJ, 2015, REV POLICY RES, V32, P175, DOI 10.1111/ropr.12120; O'Loughlin J, 2010, EURASIAN GEOGR ECON, V51, P472, DOI 10.2747/1539-7216.51.4.472; Oviedo Convention, 1997, CONV PROT HUM RIGHTS; Poor Nathaniel, 2017, INTERNET RES ETHICS, P278; POST SG, 1991, J MED ETHICS, V17, P42, DOI 10.1136/jme.17.1.42; Prunkl CEA, 2021, NAT MACH INTELL, V3, P104, DOI 10.1038/s42256-021-00298-y; Thomas DR, 2017, PROCEEDINGS OF THE 2017 INTERNET MEASUREMENT CONFERENCE (IMC'17), P445, DOI 10.1145/3131365.3131389; US Department of Health & Human Services, 1978, BELM REP ETH PRINC G; Yee A, 2019, SURGERY, V165, P860, DOI 10.1016/j.surg.2018.07.025	25	0	0	2	6	NATURE PORTFOLIO	BERLIN	HEIDELBERGER PLATZ 3, BERLIN, 14197, GERMANY		2522-5839		NAT MACH INTELL	Nat. Mach. Intell.	SEP	2021	3	9					744	748		10.1038/s42256-021-00389-w	http://dx.doi.org/10.1038/s42256-021-00389-w			5	Computer Science, Artificial Intelligence; Computer Science, Interdisciplinary Applications	Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI)	Computer Science	UR1ZR					2022-12-18	WOS:000696554100002
J	Imam, N				Imam, Nabil			Wiring up recurrent neural networks	NATURE MACHINE INTELLIGENCE			English	News Item							ORGANIZATION		[Imam, Nabil] Yale Univ, Sch Engn & Appl Sci, New Haven, CT 06520 USA	Yale University	Imam, N (corresponding author), Yale Univ, Sch Engn & Appl Sci, New Haven, CT 06520 USA.	ni49@cornell.edu		Imam, Nabil/0000-0003-2143-2286				Bassett DS, 2017, NAT NEUROSCI, V20, P353, DOI 10.1038/nn.4502; Imam N, 2020, P NATL ACAD SCI USA, V117, P29212, DOI 10.1073/pnas.2011724117; Kitzbichler MG, 2009, PLOS COMPUT BIOL, V5, DOI 10.1371/journal.pcbi.1000314; Legenstein R, 2007, NEW DIRECTIONS STAT, P127; Lukosevicius M, 2009, COMPUT SCI REV, V3, P127, DOI 10.1016/j.cosrev.2009.03.005; Rabinovich MI, 2006, REV MOD PHYS, V78, P1213, DOI 10.1103/RevModPhys.78.1213; Richards BA, 2019, NAT NEUROSCI, V22, P1761, DOI 10.1038/s41593-019-0520-2; Rubinov M, 2010, NEUROIMAGE, V52, P1059, DOI 10.1016/j.neuroimage.2009.10.003; Suarez LE, 2021, NAT MACH INTELL, V3, P771, DOI 10.1038/s42256-021-00376-1; Sussillo D, 2009, NEURON, V63, P544, DOI 10.1016/j.neuron.2009.07.018; Tkacik G, 2015, P NATL ACAD SCI USA, V112, P11508, DOI 10.1073/pnas.1514188112; Yeo BTT, 2011, J NEUROPHYSIOL, V106, P1125, DOI 10.1152/jn.00338.2011	12	0	0	1	2	NATURE PORTFOLIO	BERLIN	HEIDELBERGER PLATZ 3, BERLIN, 14197, GERMANY		2522-5839		NAT MACH INTELL	Nat. Mach. Intell.	SEP	2021	3	9					740	741		10.1038/s42256-021-00391-2	http://dx.doi.org/10.1038/s42256-021-00391-2			2	Computer Science, Artificial Intelligence; Computer Science, Interdisciplinary Applications	Science Citation Index Expanded (SCI-EXPANDED)	Computer Science	UR5YJ					2022-12-18	WOS:000696824400002
J	[Anonymous]				[Anonymous]			The big question	NATURE MACHINE INTELLIGENCE			English	Editorial Material																			0	0	0	0	0	NATURE PORTFOLIO	BERLIN	HEIDELBERGER PLATZ 3, BERLIN, 14197, GERMANY		2522-5839		NAT MACH INTELL	Nat. Mach. Intell.	SEP	2021	3	9					737	737		10.1038/s42256-021-00395-y	http://dx.doi.org/10.1038/s42256-021-00395-y			1	Computer Science, Artificial Intelligence; Computer Science, Interdisciplinary Applications	Science Citation Index Expanded (SCI-EXPANDED)	Computer Science	UR5YJ		Bronze			2022-12-18	WOS:000696824400001
J	Parkes, DC				Parkes, David C.			Playing with symmetry with neural networks	NATURE MACHINE INTELLIGENCE			English	Editorial Material								Finding the optimum design of a complex auction is a challenging and important economic problem. Multi-agent deep learning can help find equilibria by making use of inherent symmetries in bidding strategies.	[Parkes, David C.] Harvard Univ, Cambridge, MA 02138 USA	Harvard University	Parkes, DC (corresponding author), Harvard Univ, Cambridge, MA 02138 USA.	parkes@eecs.harvard.edu						Ausubel LM, 2020, INT J GAME THEORY, V49, P251, DOI 10.1007/s00182-019-00691-3; Bichler M, 2021, NAT MACH INTELL, V3, P687, DOI 10.1038/s42256-021-00365-4; JORDAN JS, 1993, GAME ECON BEHAV, V5, P368, DOI 10.1006/game.1993.1022; Mazumdar E, 2020, SIAM J MATH DATA SCI, V2, P103, DOI 10.1137/18M1231298; Ravindranath, 2019, P 36 INT C MACH LEAR, V97, P1706	5	0	0	0	4	NATURE PORTFOLIO	BERLIN	HEIDELBERGER PLATZ 3, BERLIN, 14197, GERMANY		2522-5839		NAT MACH INTELL	Nat. Mach. Intell.	AUG	2021	3	8					658	658		10.1038/s42256-021-00380-5	http://dx.doi.org/10.1038/s42256-021-00380-5		AUG 2021	1	Computer Science, Artificial Intelligence; Computer Science, Interdisciplinary Applications	Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI)	Computer Science	UE1VB					2022-12-18	WOS:000685037800004
J	Nunes, A; Axhausen, KW				Nunes, Ashley; Axhausen, Kay W.			Road safety, health inequity and the imminence of autonomous vehicles	NATURE MACHINE INTELLIGENCE			English	Letter							PUBLIC-HEALTH; COST		[Nunes, Ashley] Harvard Law Sch, Cambridge, MA 02138 USA; [Axhausen, Kay W.] Swiss Fed Inst Technol, Zurich, Switzerland	Harvard University; Swiss Federal Institutes of Technology Domain; ETH Zurich	Nunes, A (corresponding author), Harvard Law Sch, Cambridge, MA 02138 USA.	anunes@law.harvard.edu		Axhausen, Kay/0000-0003-3331-1318	Alfred P. Sloan Foundation [2020-14048]; National Science Foundation [1928616]	Alfred P. Sloan Foundation(Alfred P. Sloan Foundation); National Science Foundation(National Science Foundation (NSF))	A.N. was supported through funding from the Alfred P. Sloan Foundation (award #2020-14048) and the National Science Foundation via its program on the Future of Work at the Human-Technology Frontier (award #1928616, FW-HTF-P: Impact of AI Robotics on Labor).	[Anonymous], 2020, ROAD TRAFF INJ DEATH; ARGOTE L, 1990, SCIENCE, V247, P920, DOI 10.1126/science.247.4945.920; Chetty R, 2014, Q J ECON, V129, P1553, DOI 10.1093/qje/qju022; Claybrook J, 2018, SCIENCE, V361, P36, DOI 10.1126/science.aau2715; Denavas-Walt C, 2015, INCOME POVERTY US 20; Fagnant DJ, 2015, TRANSPORT RES REC, P98, DOI 10.3141/2536-12; Fleetwood J, 2017, AM J PUBLIC HEALTH, V107, P532, DOI 10.2105/AJPH.2016.303628; Fulton LM, 2018, JOULE, V2, P575, DOI 10.1016/j.joule.2018.03.005; Hancock PA, 2019, P NATL ACAD SCI USA, V116, P7684, DOI 10.1073/pnas.1805770115; Harper S, 2015, AM J EPIDEMIOL, V182, P606, DOI 10.1093/aje/kwv099; Hsia RYJ, 2011, HEALTH AFFAIR, V30, P1912, DOI 10.1377/hlthaff.2011.0510; Kavlak G, 2018, ENERG POLICY, V123, P700, DOI 10.1016/j.enpol.2018.08.015; LEVY FK, 1965, MANAGE SCI, V11, pB136; Moreno, 2021, FORBES; Nunes A, 2020, TRANSPORT RES A-POL, V138, P28, DOI 10.1016/j.tra.2020.05.011; Nunes A, 2020, AM J PUBLIC HEALTH, V110, P796, DOI 10.2105/AJPH.2020.305608; Nunes A, 2018, NATURE, V556, P169, DOI 10.1038/d41586-018-04158-5; Savage I, 2013, RES TRANSP ECON, V43, P1, DOI 10.1016/j.retrec.2012.12.012	18	0	0	1	5	NATURE PORTFOLIO	BERLIN	HEIDELBERGER PLATZ 3, BERLIN, 14197, GERMANY		2522-5839		NAT MACH INTELL	Nat. Mach. Intell.	AUG	2021	3	8					654	655		10.1038/s42256-021-00382-3	http://dx.doi.org/10.1038/s42256-021-00382-3		AUG 2021	2	Computer Science, Artificial Intelligence; Computer Science, Interdisciplinary Applications	Science Citation Index Expanded (SCI-EXPANDED)	Computer Science	UE1VB					2022-12-18	WOS:000683403300001
J	Rousseau, D				Rousseau, David			Resource-efficient inference for particle physics	NATURE MACHINE INTELLIGENCE			English	Editorial Material									[Rousseau, David] Univ Paris Saclay, CNRS, IN2P3, IJCLab, Orsay, France	Centre National de la Recherche Scientifique (CNRS); CNRS - National Institute of Nuclear and Particle Physics (IN2P3); UDICE-French Research Universities; Universite Paris Saclay	Rousseau, D (corresponding author), Univ Paris Saclay, CNRS, IN2P3, IJCLab, Orsay, France.	david.rousseau@ijclab.in2p3.fr						Coelho CN, 2021, NAT MACH INTELL, V3, P675, DOI 10.1038/s42256-021-00356-5; Duarte J, 2018, J INSTRUM, V13, DOI 10.1088/1748-0221/13/07/P07027	2	0	0	0	1	NATURE PORTFOLIO	BERLIN	HEIDELBERGER PLATZ 3, BERLIN, 14197, GERMANY		2522-5839		NAT MACH INTELL	Nat. Mach. Intell.	AUG	2021	3	8					656	657		10.1038/s42256-021-00381-4	http://dx.doi.org/10.1038/s42256-021-00381-4			2	Computer Science, Artificial Intelligence; Computer Science, Interdisciplinary Applications	Science Citation Index Expanded (SCI-EXPANDED)	Computer Science	UE1MT					2022-12-18	WOS:000687661000001
