PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
C	Wainwright, MJ; Jordan, MI		Thrun, S; Saul, K; Scholkopf, B		Wainwright, MJ; Jordan, MI			Semidefinite relaxations for approximate inference on graphs with cycles	ADVANCES IN NEURAL INFORMATION PROCESSING SYSTEMS 16	ADVANCES IN NEURAL INFORMATION PROCESSING SYSTEMS		English	Proceedings Paper	17th Annual Conference on Neural Information Processing Systems (NIPS)	DEC   08, 2003	CANADA					We present a new method for calculating approximate marginals for probability distributions defined by graphs with cycles, based on a Gaussian entropy bound combined with a semidefinite outer bound on the marginal polytope. This combination leads to a log-determinant maximization problem that can be solved by efficient interior point methods [8]. As with the Bethe approximation and its generalizations [12], the optimizing arguments of this problem can be taken as approximations to the exact marginals. In contrast to Bethe/Kikuchi approaches, our variational problem is strictly convex and so has a unique global optimum. An additional desirable feature is that the value of the optimal solution is guaranteed to provide an upper bound on the log partition function. In experimental trials, the performance of the log-determinant relaxation is comparable to or better than the sum-product algorithm, and by a substantial margin for certain problem classes. Finally, the zero-temperature limit of our log-determinant relaxation recovers a class of well-known semidefinite relaxations for integer programming [e.g., 3].	Univ Calif Berkeley, Berkeley, CA 94720 USA	University of California System; University of California Berkeley	Wainwright, MJ (corresponding author), Univ Calif Berkeley, Berkeley, CA 94720 USA.		Jordan, Michael I/C-5253-2013	Wainwright, Martin J./0000-0002-8760-2236				COWELL R, 1999, STAT ENG INFORMATION; Deza M., 1997, GEOMETRY CUTS METRIC; Goemans MX, 1995, J ACM, V42, P1115, DOI 10.1145/227683.227684; Jordan M. I., 1999, LEARNING GRAPHICAL M; Lasserre JB, 2001, SIAM J OPTIMIZ, V11, P796, DOI 10.1137/S1052623400366802; Rockafellar G., 1970, CONVEX ANAL; Vandenberghe L, 1998, SIAM J MATRIX ANAL A, V19, P499, DOI 10.1137/S0895479896303430; WAINWRIGHT M, 2003, UCBCSD31226; Wainwright M. J., 2003, 649 UC BERK DEP STAT; WAINWRIGHT MJ, 2002, UNCERTAINTY ARTIFICI, V18, P536; Yedidia J, 2002, TR200122 MITS EL RES; [No title captured]	12	9	9	0	3	M I T PRESS	CAMBRIDGE	FIVE CAMBRIDGE CENTER, CAMBRIDGE, MA 02142 USA	1049-5258		0-262-20152-6	ADV NEUR IN			2004	16						369	376						8	Computer Science, Artificial Intelligence; Neurosciences	Conference Proceedings Citation Index - Science (CPCI-S)	Computer Science; Neurosciences & Neurology	BBF99					2022-12-19	WOS:000225309500047
C	Edelman, S; Hiles, BP; Yang, HJ; Intrator, N		Dietterich, TG; Becker, S; Ghahramani, Z		Edelman, S; Hiles, BP; Yang, HJ; Intrator, N			Probabilistic principles in unsupervised learning of visual structure: human data and a model	ADVANCES IN NEURAL INFORMATION PROCESSING SYSTEMS 14, VOLS 1 AND 2	Advances in Neural Information Processing Systems		English	Proceedings Paper	15th Annual Conference on Neural Information Processing Systems (NIPS)	DEC 03-08, 2001	VANCOUVER, CANADA				REPRESENTATION; SHAPE	To find out how the representations of structured visual objects depend on the co-occurrence statistics of their constituents, we exposed subjects to a set of composite images with tight control exerted over (1) the conditional probabilities of the constituent fragments, and (2) the value of Barlow's criterion of "suspicious coincidence" (the ratio of joint probability to the product of marginals). We then compared the part verification response times for various probe/target combinations before and after the exposure. For composite probes, the speedup was much larger for targets that contained pairs of fragments perfectly predictive of each other, compared to those that did not. This effect was modulated by the significance of their co-occurrence as estimated by Barlow's criterion. For lone-fragment probes, the speedup in all conditions was generally lower than for composites. These results shed light on the brain's strategies for unsupervised acquisition of structural information in vision.	Cornell Univ, Dept Psychol, Ithaca, NY 14853 USA	Cornell University	Edelman, S (corresponding author), Cornell Univ, Dept Psychol, Ithaca, NY 14853 USA.	se37@cornell.edu; bph7@cornell.edu; hy56@cornell.edu; Nathan.Intrator@brown.edu						Barlow HB, 1989, NEURAL COMPUT, V1, P295, DOI 10.1162/neco.1989.1.3.295; Berns GS, 1997, SCIENCE, V276, P1272, DOI 10.1126/science.276.5316.1272; BIENENSTOCK E, 1997, NEURAL INFORMATION P, V9; Edelman S, 2000, SPATIAL VISION, V13, P255, DOI 10.1163/156856800741072; Edelman S, 2001, ADV NEUR IN, V13, P10; EDELMAN S, 2000, IN PRESS TRENDS COGN, V6; Fiser J, 2001, PSYCHOL SCI, V12, P499, DOI 10.1111/1467-9280.00392; FLANNAGAN MJ, 1986, J EXP PSYCHOL LEARN, V12, P241, DOI 10.1037/0278-7393.12.2.241; KIRKHAM NZ, 2002, IN PRESS COGNITION; PALMER SE, 1977, COGNITIVE PSYCHOL, V9, P441, DOI 10.1016/0010-0285(77)90016-0; Pomerleau D. A., 1993, P ADV NEUR INF PROC, P279; Saffran JR, 1996, SCIENCE, V274, P1926, DOI 10.1126/science.274.5294.1926; SAS Institute, 1999, US GUID VERS 8; STAINVAS I, 2000, P ICPR, V2, P809; ZEMEL RS, 1995, NEURAL COMPUT, V7, P549, DOI 10.1162/neco.1995.7.3.549	16	9	9	0	1	MIT PRESS	CAMBRIDGE	ONE ROGERS ST, CAMBRIDGE, MA 02142 USA	1049-5258		0-262-04208-8	ADV NEUR IN			2002	14						19	26						8	Computer Science, Artificial Intelligence	Conference Proceedings Citation Index - Science (CPCI-S)	Computer Science	BV95T					2022-12-19	WOS:000180520100003
C	Jaakkola, T; Siegelmann, H		Dietterich, TG; Becker, S; Ghahramani, Z		Jaakkola, T; Siegelmann, H			Active information retrieval	ADVANCES IN NEURAL INFORMATION PROCESSING SYSTEMS 14, VOLS 1 AND 2	ADVANCES IN NEURAL INFORMATION PROCESSING SYSTEMS		English	Proceedings Paper	15th Annual Conference on Neural Information Processing Systems (NIPS)	DEC 03-08, 2001	VANCOUVER, CANADA					In classical large information retrieval systems, the system responds to a user initiated query with a list of results ranked by relevance. The users may further refine their query as needed. This process may result in a lengthy correspondence without conclusion. We propose an alternative active learning approach, where the system responds to the initial user's query by successively probing the user for distinctions at multiple levels of abstraction. The system's initiated queries are optimized for speedy recovery and the user is permitted to respond with multiple selections or may reject the query. The information is in each case unambiguously incorporated by the system and the subsequent queries are adjusted to minimize the need for further exchange. The system's initiated queries are subject to resource constraints pertaining to the amount of information that can be presented to the user per iteration.	MIT, AI Lab, Cambridge, MA 02139 USA	Massachusetts Institute of Technology (MIT)	Jaakkola, T (corresponding author), MIT, AI Lab, 77 Massachusetts Ave, Cambridge, MA 02139 USA.							Atkinson A. C., 1992, OXFORD STAT SCI SERI; CUTTING DR, 1996, P 15 ANN INT ACM SIG; Heckerman D., 1995, LEARNING BAYESIAN NE, V20; LIPSON H, 2000, NEURAL COMPUTATION, V12; ROCCHIO JJ, SMART SYSTEM EXPT AU, V313; SALTON G, 1990, J AM SOC INFORM SCI, V41, P288, DOI 10.1002/(SICI)1097-4571(199006)41:4<288::AID-ASI8>3.0.CO;2-H; YEDIDIA JS, 2001, NEURAL INFORMATION P, V13	7	9	9	0	0	M I T PRESS	CAMBRIDGE	FIVE CAMBRIDGE CENTER, CAMBRIDGE, MA 02142 USA	1049-5258		0-262-04208-8	ADV NEUR IN			2002	14						777	784						8	Computer Science, Artificial Intelligence	Conference Proceedings Citation Index - Science (CPCI-S)	Computer Science	BV95T					2022-12-19	WOS:000180520100097
C	Schuurmans, D; Patrascu, R		Dietterich, TG; Becker, S; Ghahramani, Z		Schuurmans, D; Patrascu, R			Direct value-approximation for factored MDPs	ADVANCES IN NEURAL INFORMATION PROCESSING SYSTEMS 14, VOLS 1 AND 2	ADVANCES IN NEURAL INFORMATION PROCESSING SYSTEMS		English	Proceedings Paper	15th Annual Conference on Neural Information Processing Systems (NIPS)	DEC 03-08, 2001	VANCOUVER, CANADA					We present a simple approach for computing reasonable policies for factored Markov decision processes (MDPs), when the optimal value function can be approximated by a compact linear form. Our method is based on solving a single linear program that approximates the best linear fit to the optimal value function. By applying an efficient constraint generation procedure we obtain an iterative solution method that tackles concise linear programs. This direct linear programming approach experimentally yields a significant reduction in computation time over approximate value- and policy-iteration methods (sometimes reducing several hours to a few seconds). However, the quality of the solutions produced by linear programming is weaker-usually about twice the approximation error for the same approximating class. Nevertheless, the speed advantage allows one to use larger approximation classes to achieve similar error in reasonable time.	Univ Waterloo, Dept Comp Sci, Waterloo, ON N2L 3G1, Canada	University of Waterloo	Schuurmans, D (corresponding author), Univ Waterloo, Dept Comp Sci, Waterloo, ON N2L 3G1, Canada.							Bertsekas D. P., 1995, DYNAMIC PROGRAMMING; Boutilier C., 2000, ARTIFICIAL INTELLIGE; BOYAN J, 1999, P ICML; Dietterich TG, 2000, J ARTIF INTELL RES, V13, P227, DOI 10.1613/jair.639; GUESTRIN C, 2001, P IJCAI; KOLLER D, 2000, P UAI; KOLLER D, 1999, P IJCAI; Martin R. K., 1999, LARGE SCALE LINEAR I; Puterman M. L., 1994, MARKOV DECISION PROC, DOI DOI 10.1002/9780470316887; SALLANS B, 2000, P NIPS; STAUBIN R, 2000, P NIPS; VANROY B, 1998, THESIS MIT; WILLIAMS RJ, 1993, TIGHT PERFORMANCE BO	14	9	9	0	2	M I T PRESS	CAMBRIDGE	FIVE CAMBRIDGE CENTER, CAMBRIDGE, MA 02142 USA	1049-5258		0-262-04208-8	ADV NEUR IN			2002	14						1579	1586						8	Computer Science, Artificial Intelligence	Conference Proceedings Citation Index - Science (CPCI-S)	Computer Science	BV95T					2022-12-19	WOS:000180520100196
C	Teh, YW; Welling, M		Dietterich, TG; Becker, S; Ghahramani, Z		Teh, YW; Welling, M			The unified propagation and scaling algorithm	ADVANCES IN NEURAL INFORMATION PROCESSING SYSTEMS 14, VOLS 1 AND 2	ADVANCES IN NEURAL INFORMATION PROCESSING SYSTEMS		English	Proceedings Paper	15th Annual Conference on Neural Information Processing Systems (NIPS)	DEC 03-08, 2001	VANCOUVER, CANADA					In this paper we will show that a restricted class of constrained minimum divergence problems, named generalized inference problems, can be solved by approximating the KL divergence with a Bethe free energy. The algorithm we derive is closely related to both loopy belief propagation and iterative scaling. This unified propagation and scaling algorithm reduces to a convergent alternative to loopy belief propagation when no constraints are present. Experiments show the viability of our algorithm.	Univ Toronto, Dept Comp Sci, Toronto, ON M5S 3G4, Canada	University of Toronto	Teh, YW (corresponding author), Univ Toronto, Dept Comp Sci, 10 Kings Coll Rd, Toronto, ON M5S 3G4, Canada.		Teh, Yee Whye/C-3400-2008					DARROCH JN, 1972, ANN MATH STAT, V43, P1470, DOI 10.1214/aoms/1177692379; Deming WE, 1940, ANN MATH STAT, V11, P427, DOI 10.1214/aoms/1177731829; MURPHY K, 1999, P C UNC ART INT, V15; Pearl J., 1988, PROBABILISTIC REASON, DOI 10.1016/B978-0-08-051489-5.50008-4; Welling M., 2013, P 17 C UNC ART INT; YEDIDIA JS, 2000, ADV NEURAL INFORMATI, V13; YUILLE AL, 2002, CCCP ALGORITHMS MINI	7	9	9	0	0	M I T PRESS	CAMBRIDGE	FIVE CAMBRIDGE CENTER, CAMBRIDGE, MA 02142 USA	1049-5258		0-262-04208-8	ADV NEUR IN			2002	14						953	960						8	Computer Science, Artificial Intelligence	Conference Proceedings Citation Index - Science (CPCI-S)	Computer Science	BV95T					2022-12-19	WOS:000180520100119
C	Torralba, A		Dietterich, TG; Becker, S; Ghahramani, Z		Torralba, A			Contextual modulation of target saliency	ADVANCES IN NEURAL INFORMATION PROCESSING SYSTEMS 14, VOLS 1 AND 2	ADVANCES IN NEURAL INFORMATION PROCESSING SYSTEMS		English	Proceedings Paper	15th Annual Conference on Neural Information Processing Systems (NIPS)	DEC 03-08, 2001	VANCOUVER, CANADA				SCENE; REPRESENTATION; ATTENTION; OBJECTS; MODEL	The most popular algorithms for object detection require the use of exhaustive spatial and scale search procedures. In such approaches, an object is defined by means of local features. In this paper we show that including contextual information in object detection procedures provides an efficient way of cutting down the need for exhaustive search. We present results with real images showing that the proposed scheme is able to accurately predict likely object classes, locations and sizes.	MIT, Dept Brain & Cognit Sci, Cambridge, MA 02139 USA	Massachusetts Institute of Technology (MIT)	Torralba, A (corresponding author), MIT, Dept Brain & Cognit Sci, E25-618, Cambridge, MA 02139 USA.	torralba@ai.mit.edu	Zheng, Zhenzhu/F-1081-2011					BIEDERMAN I, 1982, COGNITIVE PSYCHOL, V14, P143, DOI 10.1016/0010-0285(82)90007-X; Carson C, 1997, IEEE WORKSHOP ON CONTENT-BASED ACCESS OF IMAGE AND VIDEO LIBRARIES, PROCEEDINGS, P42, DOI 10.1109/IVL.1997.629719; GERSHNFELD N, 1999, NATURE MATH MODELING; GORKANI MM, 1994, P INT C PAT REC JER, V1, P459; HEISLE B, 2001, P 2001 IEEE COMP SOC; Itti L, 1998, IEEE T PATTERN ANAL, V20, P1254, DOI 10.1109/34.730558; Moghaddam B, 1997, IEEE T PATTERN ANAL, V19, P696, DOI 10.1109/34.598227; Oliva A, 2001, INT J COMPUT VISION, V42, P145, DOI 10.1023/A:1011139631724; RAO RPN, 1996, NIPS 8; Schiele B, 2000, INT J COMPUT VISION, V36, P31, DOI 10.1023/A:1008120406972; STRAT TM, 1991, IEEE T PATTERN ANAL, V13, P1050, DOI 10.1109/34.99238; Szummer M., 1998, IEEE INT WORKSH CONT; TORRALBA A, 2002, IEEE P INT C COMP VI; TREISMAN AM, 1980, COGNITIVE PSYCHOL, V12, P97, DOI 10.1016/0010-0285(80)90005-5; Viola P., 2001, P 2001 IEEE COMP SOC; WOLFE JM, 1994, PSYCHON B REV, V1, P202, DOI 10.3758/BF03200774	16	9	9	0	0	MIT PRESS	CAMBRIDGE	FIVE CAMBRIDGE CENTER, CAMBRIDGE, MA 02142 USA	1049-5258		0-262-04208-8	ADV NEUR IN			2002	14						1303	1310						8	Computer Science, Artificial Intelligence	Conference Proceedings Citation Index - Science (CPCI-S)	Computer Science	BV95T					2022-12-19	WOS:000180520100162
C	Arleo, A; Smeraldi, F; Hug, S; Gerstner, W		Leen, TK; Dietterich, TG; Tresp, V		Arleo, A; Smeraldi, F; Hug, S; Gerstner, W			Place cells and spatial navigation based on 2D visual feature extraction, path integration, and reinforcement learning	ADVANCES IN NEURAL INFORMATION PROCESSING SYSTEMS 13	Advances in Neural Information Processing Systems		English	Proceedings Paper	14th Annual Neural Information Processing Systems Conference (NIPS)	NOV 27-DEC 02, 2000	DENVER, CO				HEAD-DIRECTION CELLS; HIPPOCAMPAL; MODEL; RATS	We model hippocampal place cells and head-direction cells by combining allothetic (visual) and idiothetic (proprioceptive) stimuli. Visual input, provided by a video camera on a miniature robot, is preprocessed by a set of Gabor filters on 31 nodes of a log-polar retinotopic graph. Unsupervised Hebbian learning is employed to incrementally build a population of localized overlapping place fields. Place cells serve as basis functions for reinforcement learning. Experimental results for goal-oriented navigation of a mobile robot are presented.	Swiss Fed Inst Technol, Ctr Neuromimet Syst, MANTRA, Ecole Polytech Fed Lausanne, CH-1015 Lausanne, Switzerland	Swiss Federal Institutes of Technology Domain; Ecole Polytechnique Federale de Lausanne	Arleo, A (corresponding author), Swiss Fed Inst Technol, Ctr Neuromimet Syst, MANTRA, Ecole Polytech Fed Lausanne, CH-1015 Lausanne, Switzerland.	angelo.arleo@epfl.ch	Arleo, Angelo/N-9255-2019	Arleo, Angelo/0000-0002-1990-1971				[Anonymous], 1989, LEARNING DELAYED REW; Arleo A, 2000, BIOL CYBERN, V83, P287, DOI 10.1007/s004220000171; Arleo A, 2000, FROM ANIM ANIMAT, P236; DAUGMAN JG, 1980, VISION RES, V20, P847, DOI 10.1016/0042-6989(80)90065-6; DAYAN P, 1991, ADV NEURAL INFORMATI, V3, P464; Foster DJ, 2000, HIPPOCAMPUS, V10, P1, DOI 10.1002/(SICI)1098-1063(2000)10:1<1::AID-HIPO1>3.0.CO;2-1; Franz MO, 1998, AUTON ROBOT, V5, P111, DOI 10.1023/A:1008821210922; Gabor D., 1946, J I ELECT ENG, V93, P429, DOI DOI 10.1049/JI-3-2.1946.0074; GEORGOPOULOS AP, 1986, SCIENCE, V233, P1416, DOI 10.1126/science.3749885; KNIERIM JJ, 1995, J NEUROSCI, V15, P1648, DOI 10.1523/JNEUROSCI.15-03-01648.1995; McCallum RA, 1996, IEEE T SYST MAN CY B, V26, P464, DOI 10.1109/3477.499796; MORRIS RGM, 1982, NATURE, V297, P681, DOI 10.1038/297681a0; O'Keefe J, 1978, HIPPOCAMPUS COGNITIV; OKeefe J, 1996, NATURE, V381, P425, DOI 10.1038/381425a0; Salinas E, 1994, J Comput Neurosci, V1, P89, DOI 10.1007/BF00962720; SMERALDI F, 2000, P S SWED SOC AUT IM, P87; Smeraldi F., 1999, 11 SCAND C IM AN, P39; Sutton Richard S, 1998, INTRO REINFORCEMENT, V2; TAUBE JS, 1990, J NEUROSCI, V10, P420; WILSON MA, 1993, SCIENCE, V261, P1055, DOI 10.1126/science.8351520	20	9	9	0	2	MIT PRESS	CAMBRIDGE	ONE ROGERS ST, CAMBRIDGE, MA 02142 USA	1049-5258		0-262-12241-3	ADV NEUR IN			2001	13						89	95						7	Computer Science, Artificial Intelligence; Neurosciences	Conference Proceedings Citation Index - Science (CPCI-S)	Computer Science; Neurosciences & Neurology	BT08J					2022-12-19	WOS:000171891800013
C	Edelman, S; Intrator, N		Leen, TK; Dietterich, TG; Tresp, V		Edelman, S; Intrator, N			A productive, systematic framework for the representation of visual structure	ADVANCES IN NEURAL INFORMATION PROCESSING SYSTEMS 13	ADVANCES IN NEURAL INFORMATION PROCESSING SYSTEMS		English	Proceedings Paper	14th Annual Neural Information Processing Systems Conference (NIPS)	NOV 27-DEC 02, 2000	DENVER, CO				CORTEX; FEATURES; OBJECTS; RECOGNITION; MODELS	We describe a unified framework for the understanding of structure representation in primate vision. A model derived from this framework is shown to be effectively systematic in that it has the ability to interpret and associate together objects that are related through a rearrangement of common "middle-scale" parts, represented as image fragments. The model addresses the same concerns as previous work on compositional representation through the use of what+where receptive fields and attentional gain modulation. It does not require prior exposure to the individual parts, and avoids the need for abstract symbolic binding.	Cornell Univ, Dept Psychol, Ithaca, NY 14853 USA	Cornell University	Edelman, S (corresponding author), Cornell Univ, Dept Psychol, 232 Uris Hall, Ithaca, NY 14853 USA.							Bar M, 1998, PSYCHOL SCI, V9, P464, DOI 10.1111/1467-9280.00086; BIENENSTOCK E, 1997, NIPS, V9; BURL MC, 1998, LNCS SERIES, V1406, P628; Conner CE, 1997, J NEUROSCI, V17, P3201; DENEVE S, 1998, NIPS, V11; Edelman S, 2000, SPATIAL VISION, V13, P255, DOI 10.1163/156856800741072; Edelman S., 1999, REPRESENTATION RECOG; EDELMAN S, 1998, 500 CSRP U SUSS; Edelman S, 1997, TRENDS COGN SCI, V1, P296, DOI 10.1016/S1364-6613(97)01090-5; FUJITA I, 1992, NATURE, V360, P343, DOI 10.1038/360343a0; Hadley RF, 1997, MIND LANG, V12, P137, DOI 10.1111/1468-0017.00040; Heeger DJ, 1996, P NATL ACAD SCI USA, V93, P623, DOI 10.1073/pnas.93.2.623; HUMMEL JE, 2000, COGNITIVE DYNAMICS C, pCH7; KOBATAKE E, 1994, J NEUROPHYSIOL, V71, P856, DOI 10.1152/jn.1994.71.3.856; Love BC, 1999, COGNITIVE PSYCHOL, V38, P291, DOI 10.1006/cogp.1998.0697; NAVON D, 1977, COGNITIVE PSYCHOL, V9, P353, DOI 10.1016/0010-0285(77)90012-3; POMERLEAU D, 1993, NIPS, V5, P279; Rao SC, 1997, SCIENCE, V276, P821, DOI 10.1126/science.276.5313.821; Riesenhuber M, 1999, NAT NEUROSCI, V2, P1019, DOI 10.1038/14819; Salinas E, 1997, J NEUROPHYSIOL, V77, P3267, DOI 10.1152/jn.1997.77.6.3267; STAINVAS I, 2000, IMPROVING RECOGNITIO; TREISMAN A, 1992, AM PSYCHOL, V47, P862, DOI 10.1037/0003-066X.47.7.862; Treisman AM, 1998, CURR OPIN NEUROBIOL, V8, P218, DOI 10.1016/S0959-4388(98)80143-8	23	9	9	0	0	M I T PRESS	CAMBRIDGE	FIVE CAMBRIDGE CENTER, CAMBRIDGE, MA 02142 USA	1049-5258		0-262-12241-3	ADV NEUR IN			2001	13						10	16						7	Computer Science, Artificial Intelligence; Neurosciences	Conference Proceedings Citation Index - Science (CPCI-S)	Computer Science; Neurosciences & Neurology	BT08J					2022-12-19	WOS:000171891800002
C	Kjems, U; Hansen, LK; Strother, SC		Leen, TK; Dietterich, TG; Tresp, V		Kjems, U; Hansen, LK; Strother, SC			Generalizable singular value decomposition for ill-posed datasets	ADVANCES IN NEURAL INFORMATION PROCESSING SYSTEMS 13	ADVANCES IN NEURAL INFORMATION PROCESSING SYSTEMS		English	Proceedings Paper	14th Annual Neural Information Processing Systems Conference (NIPS)	NOV 27-DEC 02, 2000	DENVER, CO					We demonstrate that statistical analysis of ill-posed data sets is subject to a bias, which can be observed when projecting independent test set examples onto a basis defined by the training examples. Because the training examples in an ill-posed data set do not fully span the signal space the observed training set variances in each basis vector will be too high compared to the average variance of the test set projections onto the same basis vectors. On basis of this understanding we introduce the Generalizable Singular Value Decomposition (GenSVD) as a means to reduce this bias by re-estimation of the singular values obtained in a conventional Singular Value Decomposition, allowing for a generalization performance increase of a subsequent statistical model. We demonstrate that the algorithm succesfully corrects bias in a data set from a functional PET activation study of the human brain.	Tech Univ Denmark, Dept Math Modelling, DK-2800 Lyngby, Denmark	Technical University of Denmark	Kjems, U (corresponding author), Tech Univ Denmark, Dept Math Modelling, DK-2800 Lyngby, Denmark.		Strother, Stephen/ABF-3371-2021; Strother, Stephen C/D-6752-2011; Hansen, Lars/E-3174-2013	Strother, Stephen/0000-0002-3198-217X; Strother, Stephen C/0000-0002-3198-217X; 				BISHOP C, 1999, ADV NEURAL INFORMATI, V11; Hansen LK, 1999, NEUROIMAGE, V9, P534, DOI 10.1006/nimg.1998.0425; HANSEN LK, 1996, P IEEE INT C NEUR NE, V1, P25; Jackson J.E., 1991, WILEY SERIES PROBABI; LAUTRUP B, 1995, P WORKSH SUP BRAIN R, P137; ROWEIS S, 1998, ADV NEURAL INFORMATI, V10	6	9	9	0	0	M I T PRESS	CAMBRIDGE	FIVE CAMBRIDGE CENTER, CAMBRIDGE, MA 02142 USA	1049-5258		0-262-12241-3	ADV NEUR IN			2001	13						549	+						7	Computer Science, Artificial Intelligence; Neurosciences	Conference Proceedings Citation Index - Science (CPCI-S)	Computer Science; Neurosciences & Neurology	BT08J					2022-12-19	WOS:000171891800078
C	Schwartz, O; Simoncelli, EP		Leen, TK; Dietterich, TG; Tresp, V		Schwartz, O; Simoncelli, EP			Natural sound statistics and divisive normalization in the auditory system	ADVANCES IN NEURAL INFORMATION PROCESSING SYSTEMS 13	Advances in Neural Information Processing Systems		English	Proceedings Paper	14th Annual Neural Information Processing Systems Conference (NIPS)	NOV 27-DEC 02, 2000	DENVER, CO				NEURONS; CORTEX; SUPPRESSION; INTENSITY; RESPONSES; SCENES; NERVE; CELLS; CAT	We explore the statistical properties of natural sound stimuli preprocessed with a bank of linear filters. The responses of such filters exhibit a striking form of statistical dependency, in which the response variance of each filter grows with the response amplitude of filters tuned for nearby frequencies. These dependencies may be substantially reduced using an operation known as divisive normalization, in which the response of each filter is divided by a weighted sum of the rectified responses of other filters. The weights may be chosen to maximize the independence of the normalized responses for an ensemble of natural sounds. We demonstrate that the resulting model accounts for nonlinearities in the response characteristics of the auditory nerve, by comparing model simulations to electrophysiological recordings. In previous work (NIPS, 1998) we demonstrated that an analogous model derived from the statistics of natural images accounts for non-linear properties of neurons in primary visual cortex. Thus, divisive normalization appears to be a generic mechanism for eliminating a type of statistical dependency that is prevalent in natural signals of different modalities.	NYU, Ctr Neural Sci, New York, NY 10003 USA	New York University	Schwartz, O (corresponding author), NYU, Ctr Neural Sci, New York, NY 10003 USA.	odelia@cns.nyu.edu; eero.simoncelli@nyu.edu		Simoncelli, Eero/0000-0002-1206-527X				Attias H, 1997, ADV NEUR IN, V9, P27; Attias H, 1998, ADV NEUR IN, V10, P103; ATTNEAVE F, 1954, PSYCHOL REV, V61, P183, DOI 10.1037/h0054663; Barlow H., 1961, SENSORY COMMUNICATIO, P217; Bell AJ, 1996, NETWORK-COMP NEURAL, V7, P261, DOI 10.1088/0954-898X/7/2/005; Bell AJ, 1997, VISION RES, V37, P3327, DOI 10.1016/S0042-6989(97)00121-1; Carandini M, 1997, J NEUROSCI, V17, P8621; Dan Y, 1996, J NEUROSCI, V16, P3351; GEISLER DC, 1998, SOUND SYNAPSE PHYSL; HEEGER DJ, 1992, VISUAL NEUROSCI, V9, P181, DOI 10.1017/S0952523800009640; JAVEL E, 1978, J ACOUST SOC AM, V63, P1093, DOI 10.1121/1.381817; LYON RF, 1990, LECT NOTES BIOMATH, V87, P395; Nelken I, 1999, NATURE, V397, P154, DOI 10.1038/16456; Olshausen BA, 1996, NETWORK-COMP NEURAL, V7, P333, DOI 10.1088/0954-898X/7/2/014; ROSE JE, 1971, J NEUROPHYSIOL, V34, P685, DOI 10.1152/jn.1971.34.4.685; RUDERMAN DL, 1994, PHYS REV LETT, V73, P814, DOI 10.1103/PhysRevLett.73.814; Simoncelli EP, 1999, ADV NEUR IN, V11, P153; SIMONCELLI EP, 1999, P SPIE, V3813; Slaney M, 1993, 35 APPL; VINJE WE, 2000, SCIENCE          FEB, P287; WAINWRIGHT MJ, 2001, IN PRESS STAT THEORI; Wang KS, 1994, IEEE T SPEECH AUDI P, V2, P421, DOI 10.1109/89.294356; Zhao HB, 1999, NATURE, V399, P359, DOI 10.1038/20686	23	9	9	0	4	MIT PRESS	CAMBRIDGE	ONE ROGERS ST, CAMBRIDGE, MA 02142 USA	1049-5258		0-262-12241-3	ADV NEUR IN			2001	13						166	172						7	Computer Science, Artificial Intelligence; Neurosciences	Conference Proceedings Citation Index - Science (CPCI-S)	Computer Science; Neurosciences & Neurology	BT08J					2022-12-19	WOS:000171891800024
