PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	LUENGO, I				LUENGO, I			THE MU-CONSTANT STRATUM IS NOT SMOOTH	INVENTIONES MATHEMATICAE			English	Article											LUENGO, I (corresponding author), UNIV COMPLUTENSE MADRID,FAC CC MATEMAT,DEPT ALGEBRA,E-28040 MADRID,SPAIN.		Luengo, Ignacio/I-4646-2015	Luengo, Ignacio/0000-0002-3698-1352				ARNOLD VI, 1983, P SYMP PURE MATH, V40, P57; ARTIN M, 1966, AM J MATH, V88, P129, DOI 10.2307/2373050; GALLIGO A, 1973, ASTERISQUE, V7, P165; GIACINTIDIEBOLT C, 1984, MATH ANN, V266, P321, DOI 10.1007/BF01475583; HIRONAKA H, 1974, MEMORIAS I J JUAN, V28; LE DT, 1983, P SYMP PURE MATH, V40, P105; LE DT, 1980, SEP P S HELD KAT, P7; LUENGO I, 1985, IN PRESS J LONDON MA; MARTIN H, 1976, 36 U FERR I MAT PREP; NEUMANN WD, 1981, T AM MATH SOC, V268, P299, DOI 10.2307/1999331; PERRON B, 1982, CR ACAD SCI I-MATH, V295, P735; TANNENBAUM A, 1984, COMPOS MATH, V51, P169; Teissier B., 1980, LECT NOTES MATH, V777; WAGREICH P, 1970, AM J MATH, V92, P419, DOI 10.2307/2373333; WAHL J, 1976, ANN MATH, V109, P325; WAHL JM, 1974, T AM MATH SOC, V193, P143, DOI 10.2307/1996906; ZARISKI O, 1965, AM J MATH, V87, P972, DOI 10.2307/2373257	17	42	42	0	0	SPRINGER VERLAG	NEW YORK	175 FIFTH AVE, NEW YORK, NY 10010	0020-9910			INVENT MATH	Invent. Math.		1987	90	1					139	152		10.1007/BF01389034	http://dx.doi.org/10.1007/BF01389034			14	Mathematics	Science Citation Index Expanded (SCI-EXPANDED)	Mathematics	K1481					2022-12-19	WOS:A1987K148100005
J	GREEN, ML				GREEN, ML			QUADRICS OF RANK 4 IN THE IDEAL OF A CANONICAL CURVE	INVENTIONES MATHEMATICAE			English	Article											GREEN, ML (corresponding author), UNIV CALIF LOS ANGELES,DEPT MATH,LOS ANGELES,CA 90024, USA.							ANDREOTTI A, 1958, AM J MATH, V80, P801, DOI 10.2307/2372835; Andreotti A, 1967, ANN SCUOLA NORM SUP, V21, P189; ARBARELLO E, 1981, COMPOS MATH, V43, P145; ARBARELLO E, UNPUB TOPICS THEORY; KEMPF G, 1981, 1978 P C RIEM SURF R, P319	5	42	42	0	0	SPRINGER VERLAG	NEW YORK	175 FIFTH AVE, NEW YORK, NY 10010	0020-9910			INVENT MATH	Invent. Math.		1984	75	1					85	104		10.1007/BF01403092	http://dx.doi.org/10.1007/BF01403092			20	Mathematics	Science Citation Index Expanded (SCI-EXPANDED)	Mathematics	SD139					2022-12-19	WOS:A1984SD13900007
J	MANDAL, S				MANDAL, S			ON EFFICIENT GENERATION OF IDEALS	INVENTIONES MATHEMATICAE			English	Article									TATA INST FUNDAMENTAL RES,SCH MATH,BOMBAY 400005,INDIA	Tata Institute of Fundamental Research (TIFR)								Bass H., 1975, LECT NOTES MATH, V431, P228; BHATWADEKAR SM, EFFICIENT GENERATION; Kumar N. Mohan, 1977, J MATH KYOTO U, V17, P533; KUNZ E, 1979, EINFUHRUNG KOMMUTATI; MANDAL S, 1982, THESIS TATA I FUNDAM; PLUMSTEAD BR, 1979, THESIS U CHICAGO CHI; QUILLEN D, 1976, INVENT MATH, V36, P167, DOI 10.1007/BF01390008; Suslin A., 1976, SOV MATH DOKL, V17, P1160; SUSLIN AA, 1977, MATH USSR IZV+, V11, P221, DOI 10.1070/IM1977v011n02ABEH001709; [No title captured]	10	42	42	0	0	SPRINGER VERLAG	NEW YORK	175 FIFTH AVE, NEW YORK, NY 10010	0020-9910			INVENT MATH	Invent. Math.		1984	75	1					59	67		10.1007/BF01403089	http://dx.doi.org/10.1007/BF01403089			9	Mathematics	Science Citation Index Expanded (SCI-EXPANDED)	Mathematics	SD139					2022-12-19	WOS:A1984SD13900004
J	HSIANG, WY				HSIANG, WY			MINIMAL CONES AND THE SPHERICAL BERNSTEIN PROBLEM .2.	INVENTIONES MATHEMATICAE			English	Article											HSIANG, WY (corresponding author), UNIV CALIF BERKELEY,DEPT MATH,BERKELEY,CA 94720, USA.							ALMGREN FJ, 1966, ANN MATH, V84, P277, DOI 10.2307/1970520; BACK A, UNPUB FUNDAMENTAL EQ; Bernstein S, 1915, COMM SOC MATH KHARKO, V15, P38; BOMBIERI E, 1969, INVENT MATH, V7, P243, DOI 10.1007/BF01404309; Calabi E., 1967, J DIFFER GEOM, V1, P111; Chern S.S., 1970, ACTES CONGRES INT MA, V1, P41; CHERN SS, 1969, BRIEF SURVEY MINIMAL; De Giorgi E, 1965, ANN SCUOLA NORM-SCI, V19, P79; DORFMAN J, UNPUB COMPLETE MINIM; Federer H, 1969, GRUND MATH WISSENSCH, P153; FLEMING WH, 1966, T AM MATH SOC, V121, P160, DOI 10.2307/1994337; HSIANG WT, 1982, J DIFFER GEOM, V17, P583; Hsiang Wu-yi, 1971, J DIFFER GEOM, V5, P1; HSIANG WY, 1982, J DIFFER GEOM, V17, P337; HSIANG WY, 1983, ANN MATH, V117, P609, DOI 10.2307/2007036; HSIANG WY, 1966, P NATL ACAD SCI USA, V56, P5, DOI 10.1073/pnas.56.1.5; HSIANG WY, NEW EXAMPLES CONSTAN; LAWSON B, 1972, T AM MATH SOC, V173, P231; PENG CK, MINIMAL HYPERSURFACE; SIMONS J, 1968, ANN MATH, V88, P62, DOI 10.2307/1970556	21	42	42	0	0	SPRINGER VERLAG	NEW YORK	175 FIFTH AVE, NEW YORK, NY 10010	0020-9910			INVENT MATH	Invent. Math.		1983	74	3					351	369		10.1007/BF01394241	http://dx.doi.org/10.1007/BF01394241			19	Mathematics	Science Citation Index Expanded (SCI-EXPANDED)	Mathematics	RX881					2022-12-19	WOS:A1983RX88100002
J	PENKOV, IB				PENKOV, IB			D-MODULES ON SUPERMANIFOLDS	INVENTIONES MATHEMATICAE			English	Article																		ALTMAN A, 1970, LECTURES NOTES MATH, V146, P185; [Anonymous], 1980, RUSS MATH SURV+, DOI [DOI 10.1070/RM1980V035N01ABEH001545, 10.1070/RM1980v035n01ABEH001545]; BEILINSON AA, 1981, THEORY D MODULES; BJORK JE, 1979, RINGS DIFFERENTIAL O, P375; Bourbaki N., ELEMENTS MATH, DOI 10.1007/978-3-642-59315-4; Hartshorne R., 1977, ALGEBRAIC GEOMETRY, P496; MEBKHOUT Z, THESIS; OGIJEVETSKY OV, UNPUB FUNK ANAL ITS; PHAM F, 1979, PROGR MATH, V2, P339; Verdier J., 1977, LECT NOTES MATH, V569, P262; [No title captured]	11	42	42	0	2	SPRINGER VERLAG	NEW YORK	175 FIFTH AVE, NEW YORK, NY 10010	0020-9910			INVENT MATH	Invent. Math.		1983	71	3					501	512		10.1007/BF02095989	http://dx.doi.org/10.1007/BF02095989			12	Mathematics	Science Citation Index Expanded (SCI-EXPANDED)	Mathematics	QL277					2022-12-19	WOS:A1983QL27700003
J	GREENE, RE; SHIOHAMA, K				GREENE, RE; SHIOHAMA, K			CONVEX-FUNCTIONS ON COMPLETE NON-COMPACT MANIFOLDS - TOPOLOGICAL-STRUCTURE	INVENTIONES MATHEMATICAE			English	Article									UNIV TSUKUBA,DEPT MATH,IBARAKI 305,JAPAN	University of Tsukuba	GREENE, RE (corresponding author), UNIV CALIF LOS ANGELES,DEPT MATH,LOS ANGELES,CA 90024, USA.							BANGERT V, 1978, ARCH MATH, V31, P163, DOI 10.1007/BF01226433; BANGERT V, TOTALLY CONVEX SETS; BISHOP RL, 1969, T AM MATH SOC, V145, P1, DOI 10.2307/1995057; Busemann Herbert, 1955, PURE APPL MATH, V2; CHEEGER J, 1972, ANN MATH, V96, P413, DOI 10.2307/1970819; Cheeger J., 1971, J DIFFER GEOM, V6, P119; GREENE RE, 1974, INVENT MATH, V27, P265, DOI 10.1007/BF01425500; GREENE RE, 1979, ANN SCI ECOLE NORM S, V12, P47; GREENE RE, 1973, INDIANA U MATH J, V22, P641, DOI 10.1512/iumj.1973.22.22052; GREENE RE, 1976, ACTA MATH-DJURSHOLM, V137, P209, DOI 10.1007/BF02392418; GREENE RE, 1979, NOT AM MATH SOC, V26, pA223; GREENE RW, UNPUBLISHED; GROMOLL D, 1969, ANN MATH, V90, P75, DOI 10.2307/1970682; KOBAYASHI S, 1969, F DIFFERENTIAL GEOME, V2; Narasimhan R., 1968, ANAL REAL COMPLEX MA; Poor Jr W. A., 1974, J DIFFER GEOM, V9, P583; WALTER R, 1974, ARCH MATH, V25, P91, DOI 10.1007/BF01238646; Walter R., 1975, J DIFFER GEOM, V10, P167, DOI 10.4310/jdg/1214432786; WHITEHEAD JHC, Q J MATH, V2, P33; YAU ST, 1974, MATH ANN, V207, P269, DOI 10.1007/BF01351342	20	42	43	0	0	SPRINGER VERLAG	NEW YORK	175 FIFTH AVE, NEW YORK, NY 10010	0020-9910			INVENT MATH	Invent. Math.		1981	63	1					129	157		10.1007/BF01389196	http://dx.doi.org/10.1007/BF01389196			29	Mathematics	Science Citation Index Expanded (SCI-EXPANDED)	Mathematics	LH658					2022-12-19	WOS:A1981LH65800007
J	BRUNING, J; HEINTZE, E				BRUNING, J; HEINTZE, E			REPRESENTATIONS OF COMPACT LIE GROUPS AND ELLIPTIC OPERATORS	INVENTIONES MATHEMATICAE			English	Article									UNIV BONN,INST MATH,D-5300 BONN 1,FED REP GER	University of Bonn	BRUNING, J (corresponding author), UNIV MARBURG,FACHBEREICH MATH,D-3550 MARBURG,FED REP GER.							AGMON S, 1965, LECTURES ELLIPTIC BO; ATIYAH MF, 1967, ANN MATH, V86, P374, DOI 10.2307/1970694; ATIYAH MF, 1974, LECTURE NOTES MATH; Bishop RL., 1964, GEOMETRY MANIFOLDS, P273; Borel A., 1963, TOPOLOGY, V2, P111, DOI 10.1016/0040-9383(63)90026-0; Bott R., 1965, DIFFERENTIAL COMBINA, P167; BOURBAKI N, 1952, INTEGRATION; Bredon G., 1972, INTRO COMPACT TRANSF; BRUNING J, 1978, CR ACAD SCI A MATH, V286, P921; BRUNING J, 1974, MATH Z, V137, P75, DOI 10.1007/BF01213936; DOETSCH G, 1950, HDB LAPLACE TRANSFOR, V1; DONELLY H, G SPACES ASYMPTOTIC; GANGOLLI R, 1968, ACTA MATH-UPPSALA, V121, P151, DOI 10.1007/BF02391912; Gel'fand I.M., 1963, PROC INT C MATH, V1962, P74; Gelfand I.M., 2016, GEN FUNCTIONS REPRES, V6; GREINER P, 1971, ARCH RATION MECH AN, V41, P163, DOI 10.1007/BF00276190; GROMES W, 1971, MATH Z, V123, P340, DOI 10.1007/BF01109989; GROMES W, 1970, MATH Z, V118, P254; HORMANDER L, 1968, ACTA MATH-UPPSALA, V121, P193, DOI 10.1007/BF02391913; HORMANDER L, 1969, BELFER GRADUATE SC A, P155; Hormander L., 1969, LINEAR PARTIAL DIFFE, VThird; HUBER H, 1977, COMMENT MATH HELV, V52, P177, DOI 10.1007/BF02567363; ILLMAN S, 1978, MATH ANN, V233, P199, DOI 10.1007/BF01405351; KOBAYASHI S, 1963, F DIFFERENTIAL GEOME, V1; MINAKSHISUNDARAM S, 1949, CAN J MATH, V1, P242, DOI 10.4153/CJM-1949-021-5; Palais RS., 1965, ANN MATH STUDIES; Sakai S., 1971, ERGEB MATH GRENZGEB, V60; Warner G., 1972, HARMONIC ANAL SEMI S, VI; Weyl H, 1912, MATH ANN, V71, P441, DOI 10.1007/BF01456804; [No title captured]; [No title captured]	31	42	42	0	0	SPRINGER VERLAG	NEW YORK	175 FIFTH AVE, NEW YORK, NY 10010	0020-9910			INVENT MATH	Invent. Math.		1979	50	2					169	203						35	Mathematics	Science Citation Index Expanded (SCI-EXPANDED)	Mathematics	GG018					2022-12-19	WOS:A1979GG01800004
J	WEBSTER, SM				WEBSTER, SM			BIHOLOMORPHIC MAPPINGS AND THE BERGMAN KERNEL OFF THE DIAGONAL	INVENTIONES MATHEMATICAE			English	Article											WEBSTER, SM (corresponding author), PRINCETON UNIV, DEPT MATH, PRINCETON, NJ 08540 USA.							[Anonymous], 1968, PUBL RES I MATH SCI; BEDFORD E, 1978, DUKE MATH J, V45; BOUTETDEMONVEL L, 1976, SOC MAT FRANCE, P123; Chern S.S., 1974, ACTA MATH, V133, P219; D'ANGELO JP, 1978, DUKE MATH J, V45, P259, DOI 10.1215/S0012-7094-78-04515-5; DIEDERICH K, 1978, ANN MATH, V107, P371, DOI 10.2307/1971120; FEFFERMAN C, 1974, INVENT MATH, V26, P1, DOI 10.1007/BF01406845; FOLLAND G, 1972, 75 PRINC U ANN MATH; FORNAESS JE, 1978, PAC J MATH, V74, P63, DOI 10.2140/pjm.1978.74.63; HENKIN G, 1973, SOV MATH DOKL, V14, P858; KERZMAN N, 1972, MATH ANN, V195, P149; KOBAYASHI S, 1963, F DIFFERENTIAL GEOME, V1; KOHN JJ, 1977, P NATL ACAD SCI USA, V74, P2214, DOI 10.1073/pnas.74.6.2214; LEWY H, 1977, ACCAD NAZ LINCEI; Naruki I., 1976, TOHOKU MATH J, V28, P117, DOI [10.2748/tmj/1178240885, DOI 10.2748/TMJ/1178240885]; Pinchuk S., 1975, MAT SBORNIK, V27, P375; PINCHUK SI, 1975, SIBERIAN MATH J, P644; RANGE M, 1970, P S PURE MATH, V30, P31; Tsuji M., 1975, POTENTIAL THEORY MOD; WEBSTER S, IN PRESS; WEBSTER SM, 1977, INVENT MATH, V43, P53, DOI 10.1007/BF01390203; WEBSTER SM, 1978, P AM MATH SOC, V71, P26, DOI 10.2307/2042209; YANG PC, PREPRINT	23	42	43	0	0	SPRINGER HEIDELBERG	HEIDELBERG	TIERGARTENSTRASSE 17, D-69121 HEIDELBERG, GERMANY	0020-9910	1432-1297		INVENT MATH	Invent. Math.		1979	51	2					155	169		10.1007/BF01390226	http://dx.doi.org/10.1007/BF01390226			15	Mathematics	Science Citation Index Expanded (SCI-EXPANDED)	Mathematics	GR942					2022-12-19	WOS:A1979GR94200004
J	CHRISTENSEN, E				CHRISTENSEN, E			PERTURBATION OF OPERATOR ALGEBRAS	INVENTIONES MATHEMATICAE			English	Article									MATEMAT INST,D-2100 COPENHAGEN 0,DENMARK				Christensen, Erik/L-8190-2014	Christensen, Erik/0000-0003-1754-0778				Arveson WB., 1969, ACTA MATH-DJURSHOLM, V123, P141, DOI [10.1007/BF02392388, DOI 10.1007/BF02392388]; ASPLUND E, 1967, B AM MATH SOC, V73, P443; BERGLUND MC, 1973, DUKE MATH J, V40, P241, DOI 10.1215/S0012-7094-73-04023-4; BUNCE J, 1972, PAC J MATH, V43, P563, DOI 10.2140/pjm.1972.43.563; CAMBERN M, 1967, P AM MATH SOC, V18, P1062, DOI 10.2307/2035796; CRISTENSEN E, 1975, J LONDON MATH SOC, V9, P395; HAKEDA J, 1967, TOHOKU MATH J, V19, P238; KADISON RV, 1966, ANN MATH, V83, P280, DOI 10.2307/1970433; KADISON RV, 1952, ANN MATH, V56, P494, DOI 10.2307/1969657; KADISON RV, 1951, ANN MATH, V54, P325, DOI 10.2307/1969534; KADISON RV, 1972, AM J MATH, V94, P38, DOI 10.2307/2373592; LIEB EH, 1974, ADV MATH, V12, P269, DOI 10.1016/S0001-8708(74)80004-6; PHILLIPS J, 1974, INDIANA U MATH J, V23, P1167, DOI 10.1512/iumj.1974.23.23093; PHILLIPS J, 1974, PAC J MATH, V52, P505, DOI 10.2140/pjm.1974.52.505; PHILLIPS J, 197335 QUEENS U MATH; Sakai S., 1971, ERGEB MATH GRENZGEB, V60; SCHWARTZ J, 1963, COMMUN PUR APPL MATH, V16, P19, DOI 10.1002/cpa.3160160104; Stinespring W.F., 1955, P AM MATH SOC, V6, P211, DOI DOI 10.1090/S0002-9939-1955-0069403-4; Takesaki Masamichi, 1958, TOHOKU MATH J, V10, P194; TOMIYAMA J, 1969, PAC J MATH, V30, P263, DOI 10.2140/pjm.1969.30.263; TOMIYAMA J, 1973, EXTENSION PROPERTY T; TOMIYAMA J, 1970, TENSORPRODUCTS PROJE; Tomiyama J., 1959, TOHOKU MATH J, V11; [No title captured]	24	42	43	0	0	SPRINGER VERLAG	NEW YORK	175 FIFTH AVE, NEW YORK, NY 10010	0020-9910			INVENT MATH	Invent. Math.		1977	43	1					1	13		10.1007/BF01390201	http://dx.doi.org/10.1007/BF01390201			13	Mathematics	Science Citation Index Expanded (SCI-EXPANDED)	Mathematics	ED766		Green Submitted			2022-12-19	WOS:A1977ED76600001
J	MIYAOKA, Y				MIYAOKA, Y			TRICANONICAL MAPS OF NUMERICAL GODEAUX SURFACES	INVENTIONES MATHEMATICAE			English	Article									TOKYO METROPOLITAN UNIV,DEPT MATH,SETAGAYA KU,TOKYO,JAPAN	Tokyo Metropolitan University								ARTIN M, 1962, AM J MATH, V84, P485, DOI 10.2307/2372985; ARTIN M, 1966, AM J MATH, V88, P129, DOI 10.2307/2373050; Bombieri E., 1973, PUBLIC MATH, V42, P171, DOI 10.1007/BF02685880; Mumford D, 1962, ANN MATH, V76, P612; Ramanujam CP., 1972, J INDIAN MATH SOC, V36, P41; Ven A V, 1966, Proc Natl Acad Sci U S A, V55, P1624; ZARISKI O, 1962, ANN MATH, V76, P550	7	42	42	0	0	SPRINGER VERLAG	NEW YORK	175 FIFTH AVE, NEW YORK, NY 10010	0020-9910			INVENT MATH	Invent. Math.		1976	34	2					99	111		10.1007/BF01425477	http://dx.doi.org/10.1007/BF01425477			13	Mathematics	Science Citation Index Expanded (SCI-EXPANDED)	Mathematics	CC717					2022-12-19	WOS:A1976CC71700003
