PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Malmstrom, V; Catrina, AI; Klareskog, L				Malmstrom, Vivianne; Catrina, Anca I.; Klareskog, Lars			The immunopathogenesis of seropositive rheumatoid arthritis: from triggering to targeting (vol 17, pg 60, 2017)	NATURE REVIEWS IMMUNOLOGY			English	Correction												Lars.klareskog@ki.se						Malmstrom V, 2017, NAT REV IMMUNOL, V17, P60, DOI 10.1038/nri.2016.124	1	0	0	1	1	NATURE PORTFOLIO	BERLIN	HEIDELBERGER PLATZ 3, BERLIN, 14197, GERMANY	1474-1733	1474-1741		NAT REV IMMUNOL	Nat. Rev. Immunol.	JUL	2022	22	7					459	459		10.1038/s41577-022-00741-0	http://dx.doi.org/10.1038/s41577-022-00741-0		MAY 2022	1	Immunology	Science Citation Index Expanded (SCI-EXPANDED)	Immunology	2P0EH	35637394	Bronze			2022-12-18	WOS:000802926400001
J	Schultze, JL; Buttner, M; Becker, M				Schultze, Joachim L.; Buettner, Maren; Becker, Matthias			Swarm immunology: harnessing blockchain technology and artificial intelligence in human immunology	NATURE REVIEWS IMMUNOLOGY			English	Article								Human immunology may soon benefit from the use of artificial intelligence and blockchain technologies. Here, we discuss how Swarm Learning could foster collaborative worldwide immunology studies that fully respect local data privacy regulations by sharing insights, not data.	[Schultze, Joachim L.; Becker, Matthias] Deutsch Zentrum Neurodegenerat Erkrankungen DZNE, Syst Med, Bonn, Germany; [Schultze, Joachim L.; Becker, Matthias] Deutsch Zentrum Neurodegenerat Erkrankungen DZNE, PRECISE Platform Single Cell Genom & Epigen, Bonn, Germany; [Schultze, Joachim L.; Becker, Matthias] Univ Bonn, Bonn, Germany; [Schultze, Joachim L.; Buettner, Maren] Univ Bonn, Life & Med Sci LIMES Inst, Genom & Immunoregulat, Bonn, Germany; [Buettner, Maren] German Res Ctr Environm Hlth, Helmholtz Zentrum Munchen, Inst Computat Biol, Neuherberg, Germany	Helmholtz Association; German Center for Neurodegenerative Diseases (DZNE); Helmholtz Association; German Center for Neurodegenerative Diseases (DZNE); University of Bonn; University of Bonn; Helmholtz Association; Helmholtz-Center Munich - German Research Center for Environmental Health	Schultze, JL (corresponding author), Deutsch Zentrum Neurodegenerat Erkrankungen DZNE, Syst Med, Bonn, Germany.; Schultze, JL (corresponding author), Deutsch Zentrum Neurodegenerat Erkrankungen DZNE, PRECISE Platform Single Cell Genom & Epigen, Bonn, Germany.; Schultze, JL (corresponding author), Univ Bonn, Bonn, Germany.; Schultze, JL (corresponding author), Univ Bonn, Life & Med Sci LIMES Inst, Genom & Immunoregulat, Bonn, Germany.	Joachim.schultze@dzne.de	Schultze, Joachim/D-7794-2011	Schultze, Joachim/0000-0003-2812-9853	BMBF [NaFoUniMedCovid19-COVIM: 01KX2021, DFG -EXC2151 -390873048]	BMBF(Federal Ministry of Education & Research (BMBF))	This work was partially funded by the BMBF (NaFoUniMedCovid19-COVIM: 01KX2021) and under Germany's Excellence Strategy (DFG -EXC2151 -390873048).	Aghaeepour N, 2013, NAT METHODS, V10, P228, DOI [10.1038/NMETH.2365, 10.1038/nmeth.2365]; Bausch-Fluck D, 2018, P NATL ACAD SCI USA, V115, pE10988, DOI 10.1073/pnas.1808790115; Hu ZC, 2020, P NATL ACAD SCI USA, V117, P21373, DOI 10.1073/pnas.2003026117; Lotfollahi M, 2022, NAT BIOTECHNOL, V40, P121, DOI 10.1038/s41587-021-01001-7; Luecken MD, 2022, NAT METHODS, V19, P41, DOI 10.1038/s41592-021-01336-8; Pulendran B, 2020, SCIENCE, V369, P1582, DOI 10.1126/science.aay4014; Rajewsky N, 2020, NATURE, V587, P377, DOI 10.1038/s41586-020-2715-9; Schulte-Schrepping J, 2020, CELL, V182, P1419, DOI 10.1016/j.cell.2020.08.001; van Dongen JJM, 2012, LEUKEMIA, V26, P1908, DOI 10.1038/leu.2012.120; Warnat-Herresthal S, 2021, NATURE, V594, P265, DOI 10.1038/s41586-021-03583-3	10	0	0	22	22	NATURE PORTFOLIO	BERLIN	HEIDELBERGER PLATZ 3, BERLIN, 14197, GERMANY	1474-1733	1474-1741		NAT REV IMMUNOL	Nat. Rev. Immunol.	JUL	2022	22	7					401	403		10.1038/s41577-022-00740-1	http://dx.doi.org/10.1038/s41577-022-00740-1		MAY 2022	3	Immunology	Science Citation Index Expanded (SCI-EXPANDED)	Immunology	2P0EH	35624333	Bronze, Green Published			2022-12-18	WOS:000805491700001
J	Bird, L				Bird, Lucy			Lymph nodes tolerate tumours	NATURE REVIEWS IMMUNOLOGY			English	Editorial Material												l.bird@nature.com						Reticker-Flynn NE, 2022, CELL, V185, P1924, DOI 10.1016/j.cell.2022.04.019	1	0	0	1	1	NATURE PORTFOLIO	BERLIN	HEIDELBERGER PLATZ 3, BERLIN, 14197, GERMANY	1474-1733	1474-1741		NAT REV IMMUNOL	Nat. Rev. Immunol.	JUL	2022	22	7					409	409		10.1038/s41577-022-00742-z	http://dx.doi.org/10.1038/s41577-022-00742-z		MAY 2022	1	Immunology	Science Citation Index Expanded (SCI-EXPANDED)	Immunology	2P0EH	35610310				2022-12-18	WOS:000801082700002
J	Flemming, A				Flemming, Alexandra			Gut commensals promote antiviral immunity via extracellular vesicles	NATURE REVIEWS IMMUNOLOGY			English	Editorial Material												a.flemming@nature.com						Erttmann SF, 2022, IMMUNITY, V55, P847, DOI 10.1016/j.immuni.2022.04.006	1	0	0	2	3	NATURE PORTFOLIO	BERLIN	HEIDELBERGER PLATZ 3, BERLIN, 14197, GERMANY	1474-1733	1474-1741		NAT REV IMMUNOL	Nat. Rev. Immunol.	JUL	2022	22	7					410	410		10.1038/s41577-022-00743-y	http://dx.doi.org/10.1038/s41577-022-00743-y		MAY 2022	1	Immunology	Science Citation Index Expanded (SCI-EXPANDED)	Immunology	2P0EH	35610311				2022-12-18	WOS:000801082700004
J	Frere, JJ; tenOever, BR				Frere, Justin J.; tenOever, Benjamin R.			Cardiometabolic syndrome - an emergent feature of Long COVID?	NATURE REVIEWS IMMUNOLOGY			English	Editorial Material							SARS-COV-2 INFECTION	Large-scale clinical studies on the post-infectious impacts of SARS-CoV-2 have suggested that patients who have recovered from acute infection have increased risk for cardiometabolic syndrome-associated morbidities such as diabetes, chronic kidney disease and heart failure. Initial studies have taken the first steps towards unravelling the molecular processes that may be driving these findings, including the role of immune and inflammatory factors, but a comprehensive aetiology remains unclear. Given that cardiometabolic syndrome progression in patients with Long COVID may pose a significant global health and economic burden post pandemic, there is an emergent need to identify therapeutic targets and treatment options.	[Frere, Justin J.] Icahn Sch Med Mt Sinai, Dept Microbiol, New York, NY 10029 USA; [Frere, Justin J.; tenOever, Benjamin R.] NYU, Langone Hlth, Dept Microbiol, New York, NY USA	Icahn School of Medicine at Mount Sinai; New York University	tenOever, BR (corresponding author), NYU, Langone Hlth, Dept Microbiol, New York, NY USA.	Benjamin.tenOever@nyulangone.org						Al-Aly Z, 2021, NATURE, V594, P259, DOI 10.1038/s41586-021-03553-9; Bowe B, 2021, J AM SOC NEPHROL, V32, P2851, DOI 10.1681/ASN.2021060734; Castro JP, 2003, CURR HYPERTENS REP, V5, P393, DOI 10.1007/s11906-003-0085-y; Hoagland DA, 2021, IMMUNITY, V54, P557, DOI 10.1016/j.immuni.2021.01.017; Mehandru S, 2022, NAT IMMUNOL, V23, P194, DOI 10.1038/s41590-021-01104-y; Reiterer Moritz, 2021, medRxiv, DOI 10.1101/2021.03.21.21254072; Tang XM, 2021, CELL METAB, V33, P1577, DOI 10.1016/j.cmet.2021.05.015; Xie Y, 2022, LANCET DIABETES ENDO, V10, P311, DOI 10.1016/S2213-8587(22)00044-4; Xie Y, 2022, NAT MED, V28, P583, DOI 10.1038/s41591-022-01689-3; Yang LL, 2021, STEM CELL REP, V16, P2274, DOI 10.1016/j.stemcr.2021.07.012	10	0	0	1	1	NATURE PORTFOLIO	BERLIN	HEIDELBERGER PLATZ 3, BERLIN, 14197, GERMANY	1474-1733	1474-1741		NAT REV IMMUNOL	Nat. Rev. Immunol.	JUL	2022	22	7					399	400		10.1038/s41577-022-00739-8	http://dx.doi.org/10.1038/s41577-022-00739-8		MAY 2022	2	Immunology	Science Citation Index Expanded (SCI-EXPANDED)	Immunology	2P0EH	35610313	Green Published, Bronze			2022-12-18	WOS:000801082700003
J	Quastel, M; Dustin, M				Quastel, Max; Dustin, Michael			THE CD58-CD2 AXIS IN CANCER IMMUNE EVASION	NATURE REVIEWS IMMUNOLOGY			English	Editorial Material								A preprint by Ho et al. investigates the role of decreased CD58 expression in cancer cell immune evasion, through both lack of T cell co-stimulation and increased T cell inhibition.	[Quastel, Max; Dustin, Michael] Univ Oxford, Preprint Club, Oxford, England	University of Oxford	Quastel, M (corresponding author), Univ Oxford, Preprint Club, Oxford, England.	highlights@preprintclub.com; highlights@preprintclub.com		Quastel, Max/0000-0001-6551-4713; Dustin, Michael/0000-0003-4983-6389				Hamilton P.T., 2022, NAT REV IMMUNOL, DOI [10.1038/s41577-022-00719-y, DOI 10.1038/S41577-022-00719-Y]	1	0	0	2	2	NATURE PORTFOLIO	BERLIN	HEIDELBERGER PLATZ 3, BERLIN, 14197, GERMANY	1474-1733	1474-1741		NAT REV IMMUNOL	Nat. Rev. Immunol.	JUL	2022	22	7					409	409		10.1038/s41577-022-00738-9	http://dx.doi.org/10.1038/s41577-022-00738-9		MAY 2022	1	Immunology	Science Citation Index Expanded (SCI-EXPANDED)	Immunology	2P0EH	35589965	Green Submitted			2022-12-18	WOS:000797752800001
J	Minton, K				Minton, Kirsty			Signal length not strength guides T cell fate	NATURE REVIEWS IMMUNOLOGY			English	Editorial Material								FlipFlop mice, in which the coreceptor proteins encoded by the Cd4 and Cd8 loci are reversed, shed light on the importance of T cell receptor signal length versus signal strength in determining helper versus cytotoxic T cell lineage fates.				k.minton@nature.com						Shinzawa M, 2022, NAT IMMUNOL, V23, P731, DOI 10.1038/s41590-022-01187-1	1	0	0	0	0	NATURE PORTFOLIO	BERLIN	HEIDELBERGER PLATZ 3, BERLIN, 14197, GERMANY	1474-1733	1474-1741		NAT REV IMMUNOL	Nat. Rev. Immunol.	JUL	2022	22	7					407	407		10.1038/s41577-022-00736-x	http://dx.doi.org/10.1038/s41577-022-00736-x		MAY 2022	1	Immunology	Science Citation Index Expanded (SCI-EXPANDED)	Immunology	2P0EH	35577929				2022-12-18	WOS:000796349600001
J	Bordon, Y				Bordon, Yvonne			Fired up in the bone marrow	NATURE REVIEWS IMMUNOLOGY			English	Editorial Material												y.bordon@nature.com						Li XF, 2022, CELL, V185, P1709, DOI 10.1016/j.cell.2022.03.043	1	0	0	1	3	NATURE PORTFOLIO	BERLIN	HEIDELBERGER PLATZ 3, BERLIN, 14197, GERMANY	1474-1733	1474-1741		NAT REV IMMUNOL	Nat. Rev. Immunol.	JUN	2022	22	6					336	337		10.1038/s41577-022-00733-0	http://dx.doi.org/10.1038/s41577-022-00733-0		MAY 2022	2	Immunology	Science Citation Index Expanded (SCI-EXPANDED)	Immunology	1S3GR	35508808				2022-12-18	WOS:000790616200002
J	Bird, L				Bird, Lucy			An alternative surveillance system	NATURE REVIEWS IMMUNOLOGY			English	Editorial Material								A newly described subset of innate-like lymphocytes with cytotoxic capabilities is shown to have an important role in cancer immunosurveillance. This cell population is broadly self-reactive, has a unique ontogeny and gains cytotoxic potential on sensing IL-15 in tumours.				l.bird@nature.com						Chou C, 2022, NATURE, V605, P139, DOI 10.1038/s41586-022-04632-1	1	0	0	0	1	NATURE PORTFOLIO	BERLIN	HEIDELBERGER PLATZ 3, BERLIN, 14197, GERMANY	1474-1733	1474-1741		NAT REV IMMUNOL	Nat. Rev. Immunol.	JUN	2022	22	6					335	335		10.1038/s41577-022-00730-3	http://dx.doi.org/10.1038/s41577-022-00730-3		MAY 2022	1	Immunology	Science Citation Index Expanded (SCI-EXPANDED)	Immunology	1S3GR	35505095				2022-12-18	WOS:000790118800001
J	Charlton, B; Gea-Mallorqui, E				Charlton, Bethany; Gea-Mallorqui, Ester			COMPARATIVE IMMUNOLOGY REVEALS DIFFERENT FLAVOURS OF CGAS	NATURE REVIEWS IMMUNOLOGY			English	Editorial Material									[Charlton, Bethany; Gea-Mallorqui, Ester] Univ Oxford, Preprint Club, Oxford, England	University of Oxford	Charlton, B (corresponding author), Univ Oxford, Preprint Club, Oxford, England.	highlights@preprintclub.com						Charlton B., PREPRINT J CLUB PREP; Mosallanejad K., 2022, 3 FUNCTIONALLY DISTI, DOI [10.1101/2022.03.09.483681, DOI 10.1101/2022.03.09.483681]	2	0	0	0	0	NATURE PORTFOLIO	BERLIN	HEIDELBERGER PLATZ 3, BERLIN, 14197, GERMANY	1474-1733	1474-1741		NAT REV IMMUNOL	Nat. Rev. Immunol.	JUN	2022	22	6					337	337		10.1038/s41577-022-00726-z	http://dx.doi.org/10.1038/s41577-022-00726-z		APR 2022	1	Immunology	Science Citation Index Expanded (SCI-EXPANDED)	Immunology	1S3GR	35488075				2022-12-18	WOS:000788921400001
