PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Cook, G; Kasper, G				Cook, Guy; Kasper, Gabriele			This special issue	APPLIED LINGUISTICS			English	Editorial Material																		OGRADY W, IN PRESS CAMBRIDGE E; Soto AM, 2005, J BIOSCIENCES, V30, P103, DOI 10.1007/BF02705155; Stephan, 1999, EVOLUTION COGNITION, V5, P49	3	0	1	0	2	OXFORD UNIV PRESS	OXFORD	GREAT CLARENDON ST, OXFORD OX2 6DP, ENGLAND	0142-6001			APPL LINGUIST	Appl. Lingusit	DEC	2006	27	4					554	557		10.1093/applin/aml043	http://dx.doi.org/10.1093/applin/aml043			4	Linguistics	Social Science Citation Index (SSCI)	Linguistics	111RC					2022-12-18	WOS:000242470900002
J	Gottlieb, H				Gottlieb, Henrik			Linguistics and the language of translation.	APPLIED LINGUISTICS			English	Book Review									Univ Copenhagen, Dept English German & Romance Studies, DK-2300 Copenhagen, Denmark	University of Copenhagen	Gottlieb, H (corresponding author), Univ Copenhagen, Dept English German & Romance Studies, Njalsgade 130, DK-2300 Copenhagen, Denmark.	gottlieb@hum.ku.dk						Malmkjaer Kirsten, 2005, LINGUISTICS LANGUAGE	1	0	0	0	4	OXFORD UNIV PRESS	OXFORD	GREAT CLARENDON ST, OXFORD OX2 6DP, ENGLAND	0142-6001			APPL LINGUIST	Appl. Lingusit	DEC	2006	27	4					757	759		10.1093/applin/aml039	http://dx.doi.org/10.1093/applin/aml039			4	Linguistics	Social Science Citation Index (SSCI)	Linguistics	111RC					2022-12-18	WOS:000242470900014
J	Ridge, SGM				Ridge, Stanley G. M.			Politicians and rhetoric: The persuasive power of metaphor.	APPLIED LINGUISTICS			English	Book Review									Univ Western Cape, ZA-7535 Bellville, South Africa	University of the Western Cape	Ridge, SGM (corresponding author), Univ Western Cape, Vice Rectors Chambers,Private Bag X17, ZA-7535 Bellville, South Africa.							CharterisBlack J, 2005, POLITICIANS AND RHETORIC: THE PERSUASIVE POWER OF METAPHOR, P1, DOI 10.1057/9780230501706	1	0	0	0	6	OXFORD UNIV PRESS	OXFORD	GREAT CLARENDON ST, OXFORD OX2 6DP, ENGLAND	0142-6001	1477-450X		APPL LINGUIST	Appl. Lingusit	DEC	2006	27	4					762	766		10.1093/applin/aml041	http://dx.doi.org/10.1093/applin/aml041			6	Linguistics	Social Science Citation Index (SSCI)	Linguistics	111RC					2022-12-18	WOS:000242470900016
J	Schmidt, D				Schmidt, Dick			Craig Chaudron, 1946-2006 - Obituary	APPLIED LINGUISTICS			English	Biographical-Item									Univ Hawaii Manoa, Honolulu, HI 96822 USA	University of Hawaii System; University of Hawaii Manoa	Schmidt, D (corresponding author), Univ Hawaii Manoa, Honolulu, HI 96822 USA.							CHAUDRON C, PUBLICATION LIST	1	0	0	0	0	OXFORD UNIV PRESS	OXFORD	GREAT CLARENDON ST, OXFORD OX2 6DP, ENGLAND	0142-6001			APPL LINGUIST	Appl. Lingusit	DEC	2006	27	4					551	553		10.1093/applin/aml044	http://dx.doi.org/10.1093/applin/aml044			3	Linguistics	Social Science Citation Index (SSCI)	Linguistics	111RC					2022-12-18	WOS:000242470900001
J	Wee, L				Wee, Lionel			Responding responsibly: Some remarks on Skutnabb-Kangas, Kontra, and Phillipson (2006)	APPLIED LINGUISTICS			English	Editorial Material							RIGHTS	Skutnabb-Kangas, Kontra, and Phillipson's response to Wee (2005) only serves to highlight a whole new set of problems with the LHRs paradigm while failing to make any inroads towards resolving the earlier ones. For example, they adopt a 'legal perspective' in relation to Singlish that is at odds with the way they would presumably wish to deal with linguistic discrimination elsewhere. The three authors also assume that levels of disadvantage can be measured, such that inter-language discrimination should be prioritized over intra-language discrimination. They treat group membership as simply a matter of individual choice, thus erasing much of the complex political negotiations involved. Finally, they collapse important distinctions between the kinds of rights that individuals, groups and languages can reasonably be considered to possess. In this contribution, I elaborate on these four points.	Natl Univ Singapore, Dept English Language & Literature, Fac Arts & Social Sci, Singapore 117570, Singapore	National University of Singapore	Wee, L (corresponding author), Natl Univ Singapore, Dept English Language & Literature, Fac Arts & Social Sci, Block AS5,7 Arts Link S, Singapore 117570, Singapore.	ellweeha@nus.edu.sg						BOURDIEU P, 1977, REPROD ED SOC CULTU; Candlin C. N., 2001, SOCIOLINGUISTICS SOC, P212; CHESHIRE J, 1982, EDUC REV, V34, P53, DOI 10.1080/0013191820340106; Heath S.B., 1983, WAYS WORDS LANGUAGE; May S, 2005, J SOCIOLING, V9, P319, DOI 10.1111/j.1360-6441.2005.00295.x; May S., 2001, LANGUAGE MINORITY RI; Mutua Makau, 2002, HUMAN RIGHTS POLITIC; Phillipson R, 1995, APPL LINGUIST, V16, P483, DOI 10.1093/applin/16.4.483; Pullum GK., 1999, WORKINGS LANGUAGE PR, P39; Skutnabb-Kangas T, 2006, APPL LINGUIST, V27, P318, DOI 10.1093/applin/aml006; Wee L, 2005, APPL LINGUIST, V26, P48, DOI 10.1093/applin/amh038; WEE L, IN PRESS J MULTILING; WHEELER RS, 1999, WORKINGS LANGUAGE PR, P59	13	0	0	0	3	OXFORD UNIV PRESS	OXFORD	GREAT CLARENDON ST, OXFORD OX2 6DP, ENGLAND	0142-6001	1477-450X		APPL LINGUIST	Appl. Lingusit	DEC	2006	27	4					748	753		10.1093/applin/aml037	http://dx.doi.org/10.1093/applin/aml037			6	Linguistics	Social Science Citation Index (SSCI)	Linguistics	111RC					2022-12-18	WOS:000242470900012
J	Davies, A				Davies, Alan			Directions in applied linguistics: Essays in honor of Robert B. Kaplan.	APPLIED LINGUISTICS			English	Book Review									Univ Edinburgh, Edinburgh EH8 9YL, Midlothian, Scotland	University of Edinburgh	Davies, A (corresponding author), Univ Edinburgh, Edinburgh EH8 9YL, Midlothian, Scotland.							BRUTHIAUX P, 2005, DIRECTIONS APPL LING; COOK V, 2006, WHAT IS APPL LINGUIS; Corder S. Pit, 1973, INTRO APPL LINGUISTI; Davies A., 1999, INTRO APPL LINGUISTI; Davies A., 2004, HDB APPL LINGUISTICS; Elder, 2004, HDB APPL LINGUISTICS, P784, DOI DOI 10.1002/9780470757000.CH32; HUDSON R, 1999, APPL LINGUISTICS ATT; Kaplan R. B., 1992, INT ENCY LINGUISTICS, V1, P76; RAMPTON B, 1997, INT J APPL LINGUISTI, V7, P3, DOI DOI 10.1111/J.1473-4192.1997.TB00101.X; Schmitt N., 2002, INTRO APPL LINGUISTI; VANELS T, 1977, APPL LINGUISTICS LEA	11	0	0	0	0	OXFORD UNIV PRESS	OXFORD	GREAT CLARENDON ST, OXFORD OX2 6DP, ENGLAND	0142-6001			APPL LINGUIST	Appl. Lingusit	SEP	2006	27	3					534	537		10.1093/applin/aml019	http://dx.doi.org/10.1093/applin/aml019			5	Linguistics	Social Science Citation Index (SSCI)	Linguistics	075QC					2022-12-18	WOS:000239899300010
J	Fagersten, KB				Faegersten, Kristy Beers			Swearing in English. Bad language, purity and power from 1586 to the present.	APPLIED LINGUISTICS			English	Book Review									Univ Saarland, D-6600 Saarbrucken, Germany	Saarland University	Fagersten, KB (corresponding author), Univ Saarland, D-6600 Saarbrucken, Germany.							McEnery T., 2005, SWEARING ENGLISH	1	0	0	0	7	OXFORD UNIV PRESS	OXFORD	GREAT CLARENDON ST, OXFORD OX2 6DP, ENGLAND	0142-6001			APPL LINGUIST	Appl. Lingusit	SEP	2006	27	3					542	545		10.1093/applin/aml026	http://dx.doi.org/10.1093/applin/aml026			5	Linguistics	Social Science Citation Index (SSCI)	Linguistics	075QC					2022-12-18	WOS:000239899300012
J	Juzwik, MM; Pu, J				Juzwik, Mary M.; Pu, Jiang			Literacy: An introduction.	APPLIED LINGUISTICS			English	Book Review									Michigan State Univ, Teacher Educ Dept, E Lansing, MI 48824 USA	Michigan State University	Juzwik, MM (corresponding author), Michigan State Univ, Teacher Educ Dept, E Lansing, MI 48824 USA.							Baron N.S., 2000, ALPHABET EMAIL WRITT; BIBER D, 1988, VARIATIONS SPEECH WR; Deacon T. W., 1998, SYMBOLIC SPECIES; Fairclough N., 2013, LANGUAGE POWER; Freire P., 2018, PEDAGOGY OPPRESSED; Holme R., 2004, LITERACY INTRO; Martin J. R., 1997, GENRE I SOCIAL PROCE, P3; Marx Karl, 1948, COMMUNIST MANIFESTO; Peirce CS, 1931, COLLECTED PAPERS CS, V5; SCRIBNER S, 1981, PSYCHOL LIT; STREET B, 1984, LIT THEORY PRACTICE; Vygotsky L.., 1978, MIND SOC; [No title captured]	13	0	0	0	0	OXFORD UNIV PRESS	OXFORD	GREAT CLARENDON ST, OXFORD OX2 6DP, ENGLAND	0142-6001			APPL LINGUIST	Appl. Lingusit	SEP	2006	27	3					531	534		10.1093/applin/aml018	http://dx.doi.org/10.1093/applin/aml018			4	Linguistics	Social Science Citation Index (SSCI)	Linguistics	075QC					2022-12-18	WOS:000239899300009
J	Ross, SJ				Ross, Steven J.			A response to paul stapleton's 'critiquing research methodology'	APPLIED LINGUISTICS			English	Editorial Material								Paul Stapleton's (2006) critique of quantitative research brings to the surface some common interpretive problems arising when experimental and quasi-experimental research designs are compared. While Stapleton may be correct in pointing out the superiority of experimental research designs because they best eliminate the influence of extraneous factors, his construction of factitious intervening variables do little to support his argument that naturalistic field studies are invalidated by imaginary spurious influences on the outcomes of interest. In this reply, the differences between randomized experiments and real-world effectiveness studies are also reviewed with the aim of stressing the potential practical utility of the latter. While it is well-known that naturalistic field studies rarely provide conclusive results, it is argued that they can still provide useful evidence to justify inferences about worthwhile assessment practices.	Kwansei Gakuin Univ, Sch Policy Studies, Nishinomiya, Hyogo 662, Japan	Kwansei Gakuin University	Ross, SJ (corresponding author), Kwansei Gakuin Univ, Sch Policy Studies, Nishinomiya, Hyogo 662, Japan.	sross51@hotmail.com						COOK T, 2000, EDUC EVAL POLICY AN, P175; Lipton P., 2004, INFERENCE BEST EXPLA; Norris J, 2006, SYNTHESIZING RES LAN, DOI DOI 10.1075/LLLT.13; Ross SJ, 2005, APPL LINGUIST, V26, P317, DOI 10.1093/applin/ami011; Shadish WR, 2002, EXPT QUASI EXPT DESI; Stapleton P, 2006, APPL LINGUIST, V27, P130, DOI 10.1093/applin/ami042	6	0	0	0	2	OXFORD UNIV PRESS	OXFORD	GREAT CLARENDON ST, OXFORD OX2 6DP, ENGLAND	0142-6001	1477-450X		APPL LINGUIST	Appl. Lingusit	SEP	2006	27	3					527	530		10.1093/applin/aml025	http://dx.doi.org/10.1093/applin/aml025			4	Linguistics	Social Science Citation Index (SSCI)	Linguistics	075QC					2022-12-18	WOS:000239899300008
J	Benjamins, J				Benjamins, John			Re/reading the past: Critical and functional perspectives on time and value.	APPLIED LINGUISTICS			English	Book Review									Univ Leeds, Sch Educ, Leeds LS2 9JT, W Yorkshire, England	University of Leeds	Benjamins, J (corresponding author), Univ Leeds, Sch Educ, Leeds LS2 9JT, W Yorkshire, England.							BAZERMAN C, 1981, PHILOS SOC SCI, V11, P361, DOI 10.1177/004839318101100305; Bhabha H. K., 1990, NATION NARRATION, DOI DOI 10.1177/144078338602200206; Chaturvedi V, 2000, MAPPING SUBALTERN ST, pvii; HYMES D, 1981, AM STRUCTURALISM; LEE A, 1996, GENDER LIT CURRICULU; MARTIN JR, 2003, RE READING PAST CRIT; Passerini L., 2007, MEMORY UTOPIA PRIMAC; PORTELLI A, 1981, HIST WORKSHOP, P96; Portelli A, 2003, ORDER HAS BEEN CARRIED OUT, P1; REED J, 1977, 10 DAYS SHOOK WORLD; Swales J.M., 1998, OTHER FLOORS OTHER V; TANAKA S, 1994, J NARRAT LIFE HIST, V4, P257; WASHBROOK DA, 1999, OXFORD HIST BRIT EMP, P596; Wertsch J.V., 1994, J NARRAT LIFE HIST, V4, P295, DOI [10.1075/jnlh.4.4.04mul, DOI 10.1075/JNLH.4.4.04MUL]	14	0	0	0	0	OXFORD UNIV PRESS	OXFORD	GREAT CLARENDON ST, OXFORD OX2 6DP, ENGLAND	0142-6001	1477-450X		APPL LINGUIST	Appl. Lingusit	JUN	2006	27	2					331	335		10.1093/applin/aml005	http://dx.doi.org/10.1093/applin/aml005			5	Linguistics	Social Science Citation Index (SSCI)	Linguistics	059VM					2022-12-18	WOS:000238760300010
