PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	[Anonymous]				[Anonymous]			Adopting and adapting: Clinical legal education and access to justice in China	HARVARD LAW REVIEW			English	Article							LAW											ALFORD W, 2003, E ASIAN LAW UNIVERSA, P182; Alford WP, 2001, HASTINGS LAW J, V52, P703; ALFORD WP, 2003, E ASIAN LAW U NORMS, P185; ALFORD WP, 2005, 1 PRINCIPLES LA 0115, P21; *AM BAR ASS, 2006, NAT LAWY POP STAT; Barry Margaret Martin, 2000, CLIN L REV, V7, P12; Barry Margaret Martin, CLIN L REV, V7, P1; BREYER S, 2000, NYU ANN SURV AM L, V57, P403; BREYER S, 2000, NYU ANN SURV AM L, V57, P404; BREYER S, 2000, NYU ANN SURV AM L, V57, P416; Chain Jeanne, 2003, CLIN L REV, V10, P75; CHARN J, 2003, CLIN L REV, V10, P110; CHARN J, 2006, PREVENTING FORECLOSU; CHEN BS, 2004, HEILONGJIANG SHENG Z, V45, P130; CHEN HW, 2007, CHINA ED NEWS W 0205; *CHINALAWI, 2007, STAND COMM NAT PEOP; *CIA, 2007, WORLD FACTB; *COMM CHIN CLIN LE, 2004, BRIEF INTR LEG CLIN, P31; *COMM CHIN CLIN LE, 2003, CLIN LEG ED, P20; DOWDLE M, 2000, FORDHAM INT LAW J, V24, pS56; Dubin, 1998, SMU L REV, V51, P1461; Dubin Jon, 1998, SMU L REV, V51, P1465; Erlanger HS, 1996, LAW SOC REV, V30, P851, DOI 10.2307/3054120; GAO YF, 2005, E LEGAL EYE     1205; GARDNER JAMES A., 1980, LEGAL IMPERIALISM AM; GARTH B, 1980, NEIGHBORHOOD LAW FIR, P17; HUNGYEE AC, 2004, INTRO LEGAL SYSTEM P, P36; KELLOGG TE, 2007, IN PRESS HARV HUM RT, V20; Langer M, 2004, HARVARD INT LAW J, V45, P1; LEE CD, 2000, YALE J INT LAW, V25, P363; LEE CD, 2000, YALE J INT LAW, V25, P383; Liebman B., 1999, TEX INT LAW J, V34, P211; Liebman BL, 2005, COLUMBIA LAW REV, V105, P1; LIEBMAN BL, 1999, TEX INT LAW J, V34, P222; LIEBMAN BL, 1999, TEX INT LAW J, V34, P219; LIGON H, 2007, U LAW SCH ENTER 0227; LUBMAN SB, 1997, COLUMBIA J ASIAN LAW, V11, P229; LUBMAN SB, 1997, COLUM J ASIAN L, V11, P323; MACCRATE R, 1997, TENN L REV, V64, P1111; MACCRATE R, 1997, TENN L REV, V64, P1099; MACCRATE R, 1997, TENN L REV, V64, P1105; MARESH S, 1997, ED JUSTICE SOCIAL VA, P154; *NW U POL SCI LAW, 2005, PED REF LEG CLIN AID; *NW U POL SCI LAW, 2004, TRANSCR CLASS N 0412; Peerenboom Randall, 2002, CHINAS LONG MARCH RU, P251; PHAN PN, 2005, YALE HUM RTS DEV L J, V8, P141; Phan PN, 2005, YALE HUM RIGHTS DEV, V8, P117; *SECT LEG ED ADM B, 2006, AM BAR ASS STAND APP, P302; SHEN JY, 2007, MOVING ADIDST COLD R; TAMANAHA BZ, 1995, AM J INT LAW, V89, P470, DOI 10.2307/2204226; TRUBEK DM, 1974, WISC LAW REV, P1062; *UN DEV PROGR, 2005, CHIN HUM DEV REP 200, P8; Wang J. Y., 2005, HEBEI LEGAL STUD, V23, P82; WANG LM, 2004, CLIN LEGAL ED RES, P293; Wizner S, 2002, FORDHAM LAW REV, V70, P1929; Wortham L, 2006, CLIN L REV, V12, P615; WORTHAM L, 2006, CLIN L REV, V12, P673; *WUH U, 2006, CPRDC           0318; YANG XX, 2004, BEIJING U LEGAL AID, P39; YANG YC, 2004, RES PROBLEMS CHINAS, P405; YANG ZK, 2004, SW LEGAL CLIN   0604; ZHEN Z, 2005, PRESENT SITUATI 1007; ZOU KY, 2006, CHINAS LEGAL REFORM, P94; 2006, LEGAL DAILY     1224; 2003, PEOPLES DAILY   0802; 2003, BEIJING U LEGAL 0606	66	2	3	0	2	HARVARD LAW REV ASSOC	CAMBRIDGE	GANNETT HOUSE, 1511 MASSACHUSETTS AVE, CAMBRIDGE, MA 02138 USA	0017-811X	2161-976X		HARVARD LAW REV	Harv. Law Rev.	JUN	2007	120	8					2134	2155						22	Law	Social Science Citation Index (SSCI)	Government & Law	181AZ					2022-12-18	WOS:000247410400003
J	[Anonymous]				[Anonymous]			Forty-ninth parallel constitutionalism: How Canadians invoke American constitutional traditions	HARVARD LAW REVIEW			English	Article							FOREWORD; CULTURE; SEARCH; TERM											Adams Michael, 2003, FIRE ICE US CANADA M; Alford RP, 2005, UCLA LAW REV, V52, P639; BUNNER P, 2005, W STANDARD CALG 0404; Choudhry S, 1999, INDIANA LAW J, V74, P819; Choudhry S, 2004, ICON-INT J CONST LAW, V2, P1, DOI 10.1093/icon/2.1.1; *CONS PART CAN, 2005, POL DECL, P5; *CONS PART CAN, 2006, FED EL PLATF, P43; COVER RM, 1983, HARVARD LAW REV, V97, P4; COYNE A, 2006, NATL POST TORON 0301, pA17; COYNE A, 2006, NATL POST TORON 0114, pA23; DWORKIN RONALD, 1996, FREEDOMS LAW MORAL R, P82; GIBBINS R, 1993, CANADIAN AM CONSTITU, P144; GIBBONS R, 1993, CANADIAN AM CONSTITU, P131; Hirschl R, 2006, ICON-INT J CONST LAW, V4, P203, DOI 10.1093/icon/mol002; Hogg Peter W., 1997, OSGOODE HALL LAW J, V35, P75; IBBITSON J, 2006, GLOBE MAIL TORO 0228, pA1; Ibbitson John, 2006, GLOBE MAIL TORO 0221, pA7; IGNATIEFF M, 2000, RIGHTS REVOLUTION, P124; Jackson VC, 2005, HARVARD LAW REV, V119, P109; Knopff R, 1998, CAN J POLIT SCI, V31, P683, DOI 10.1017/S0008423900009604; LAYTON J, 2005, TORONTO STAR    0126, pA21; LEISHMAN R, 2006, JUDICIAL ACTIVISM; LIPSET SM, 1990, CONTINENTAL DIVIDE, P90; Llyod Martin, 2003, PASSPORT HIST MANS M; MANDEL M, 1989, CHARTER LEGALIZATION, P4; MANFREDI C, 2000, CANADA US DIFFERENCE, P301; MANFREDI C, 2000, CANADA US DIFFERENCE, P311; MANNING P, 1998, GLOBE MAIL, pA21; MCCORMICK P, 2000, SUPREME LAST, P175; Morton F.L., 2000, CHARTER REVOLUTION C; Morton F.L., 2006, APPOINTING JUDGES AG, P56; MORTON FL, 1997, GLOBE MAIL TORO 0922, pA15; MORTON FL, 2006, APPOINTING JUDGES AG, P61; MORTON FL, 2002, LAW POLITICS JUDICIA, P154; PAL M, 2007, IRPP CHOICES; Posner RA, 2005, HARVARD LAW REV, V119, P31; Post RC, 2003, HARVARD LAW REV, V117, P4; Roach K, 2006, ICON-INT J CONST LAW, V4, P347, DOI 10.1093/icon/mol008; ROACH K, 2001, SUPREME COURT TRIAL, P7; Rossiter Clinton, 1961, THE FEDERALIST NO 51, P319; RUSSELL P. H., 1987, JUDICIARY CANADA, P114; Russell Peter H, 1994, PROTECTING RIGHTS FR, P33; RUSSELL PH, 2001, JUDICIAL POWER CANAD, P121; RUSSELL PH, 2004, CONSTITUTIONAL ODYSS, P12; RUSSELL PH, 1994, PROTECTING RIGHTS FR, P42; Savoie D., 1999, GOVERNING CTR; Scheppele, 2003, ICON-INT J CONST LAW, V1, P296, DOI [10.1093/icon/1.2.296, DOI 10.1093/ICON/1.2.296]; Scheppele K, 2003, ICON-INT J CONST LAW, V1, P296; Siegel RB, 2006, CALIF LAW REV, V94, P1323, DOI 10.2307/20439068; SIMPSON J, 2001, FRIENDLY DICTATORSHI, P3; SIMPSON J, 2000, STAR SPANGLED CANADI; Taylor C., 1991, INTERPRETIVE TURN PH, P304; TRAVERS J, 2006, TORONTO STAR    0228, pA6; Tushnet M, 1999, YALE LAW J, V108, P1225, DOI 10.2307/797327; Weinrib L., 2006, MIGRATION CONSTITUTI, P84; WEINRIB LE, 2006, MIGRATION CONSTITUTI, P85; WEINRIB LE, 1999, POLICY OPTIONS, P28; 1991, S C R, V2, P158; 2006, TORONTO STAR    0228, pA18; 2006, NATL POST TORON 0301, pA14; 1991, S C R, V2, P182; 1991, S C R, V2, P186	62	2	2	0	0	HARVARD LAW REV ASSOC	CAMBRIDGE	GANNETT HOUSE, 1511 MASSACHUSETTS AVE, CAMBRIDGE, MA 02138 USA	0017-811X	2161-976X		HARVARD LAW REV	Harv. Law Rev.	MAY	2007	120	7					1936	1957						22	Law	Social Science Citation Index (SSCI)	Government & Law	168MA					2022-12-18	WOS:000246527500007
J	Kovar, JD				Kovar, JD			In Memoriam: Arthur T Von Mehren	HARVARD LAW REVIEW			English	Biographical-Item																		VONMEHREN AT, PUBLICATION LIST	1	2	2	0	0	HARVARD LAW REV ASSOC	CAMBRIDGE	GANNETT HOUSE, 1511 MASSACHUSETTS AVE, CAMBRIDGE, MA 02138 USA	0017-811X			HARVARD LAW REV	Harv. Law Rev.	MAY	2006	119	7					1952	1954						3	Law	Social Science Citation Index (SSCI)	Government & Law	044PQ					2022-12-18	WOS:000237685100002
J	Symeonides, SC				Symeonides, SC			In Memoriam: Arthur T Von Mehren	HARVARD LAW REVIEW			English	Biographical-Item									Willamette Univ, Coll Law, Salem, OR 97301 USA	Willamette University	Symeonides, SC (corresponding author), Willamette Univ, Coll Law, Salem, OR 97301 USA.							VONMEHREN AT, PUBLICATION LIST	1	2	2	0	0	HARVARD LAW REV ASSOC	CAMBRIDGE	GANNETT HOUSE, 1511 MASSACHUSETTS AVE, CAMBRIDGE, MA 02138 USA	0017-811X			HARVARD LAW REV	Harv. Law Rev.	MAY	2006	119	7					1962	1967						6	Law	Social Science Citation Index (SSCI)	Government & Law	044PQ					2022-12-18	WOS:000237685100005
J	Breyer, SG				Breyer, SG			A tribute to Justice Sandra Day O'Connor	HARVARD LAW REVIEW			English	Biographical-Item									US Supreme Court, Washington, DC 20543 USA		Breyer, SG (corresponding author), US Supreme Court, 1st St & Maryland Ave NE, Washington, DC 20543 USA.							BREYER SG, PUBLICATION LIST	1	2	2	0	0	HARVARD LAW REV ASSOC	CAMBRIDGE	GANNETT HOUSE, 1511 MASSACHUSETTS AVE, CAMBRIDGE, MA 02138 USA	0017-811X			HARVARD LAW REV	Harv. Law Rev.	MAR	2006	119	5					1242	1245						4	Law	Social Science Citation Index (SSCI)	Government & Law	026KH					2022-12-18	WOS:000236337300002
J	Sullivan, KM				Sullivan, KM			A tribute to Justice Sandra Day O'Connor	HARVARD LAW REVIEW			English	Biographical-Item									Stanford Univ, Sch Law, Stanford, CA 94305 USA	Stanford University	Sullivan, KM (corresponding author), Stanford Univ, Sch Law, Stanford, CA 94305 USA.							SULLIVAN K, PUBLICATION LIST	1	2	2	0	0	HARVARD LAW REV ASSOC	CAMBRIDGE	GANNETT HOUSE, 1511 MASSACHUSETTS AVE, CAMBRIDGE, MA 02138 USA	0017-811X			HARVARD LAW REV	Harv. Law Rev.	MAR	2006	119	5					1251	1256						6	Law	Social Science Citation Index (SSCI)	Government & Law	026KH					2022-12-18	WOS:000236337300005
J	[Anonymous]				[Anonymous]			An interstate process perspective on political gerrymandering	HARVARD LAW REVIEW			English	Article							ELECTORAL CONNECTION; PARTISAN; COURT; TERM; THICKET; CLAUSE											ADLER M, 1993, HASTINGS CONST LQ, V20, P391; ADLER M, 1993, HASTINGS CONST LQ, V20, P407; [Anonymous], 2005, HARVARD LAW REV, V118, P2314; [Anonymous], 2004, HARVARD LAW REV, V117, P1196; BAKER LA, 1996, ARIZ L REV, V38, P870; BAKER LA, 1996, ARIZ L REV, V38, P859; Berman MN, 2005, TEX LAW REV, V83, P781; BERMAN MN, 2005, TEX LAW REV, V83, P852; CAMPAGNA J, 1990, J POLIT, V52, P1242, DOI 10.2307/2131690; CARVIN MA, 2005, ELECTION LJ, V4, P8; Carvin MA, 2005, ELECT LAW J, V4, P2, DOI 10.1089/elj.2005.4.2; Cox A, 2004, NEW YORK U LAW REV, V79, P751; COX A, 2004, NEW YORK U LAW REV, V79, P766; Cox AB, 2004, SUPREME COURT REV, P409; EASTERBROOK FH, 1984, HARVARD LAW REV, V98, P4; Elhauge E, 1997, U CHICAGO LAW REV, V64, P83, DOI 10.2307/1600199; ELHAUGE E, 1997, U CHICAGO LAW REV, V64, P121; ELY JOHN HART, 1980, DEMOCRACY DISTRUST T, P103; EULE JN, 1982, YALE LAW J, V91, P425, DOI 10.2307/795926; EULE JN, 1982, YALE LAW J, V91, P439; Everett Robinson O., 2001, TEX REV L POL, V6, P221; Everett Robinson O., 2001, TEX REV L POL, V6, P205; Fallon Jr Richard H., 2006, HARVARD LAW REV, V119, P1278; Fallon RH, 2006, HARVARD LAW REV, V119, P1274; FRIENT MC, 1998, CASE W RES L REV, V48, P619; Fuentes-Rohwer L, 2003, NOTRE DAME LAW REV, V78, P527; GALDERISI PF, 2005, REDISTRICTING NEW MI, P3; GERGEN MP, 1988, TEX LAW REV, V66, P1097; Gerken HK, 2004, U PENN LAW REV, V153, P503, DOI 10.2307/4150631; GERKEN HK, 2004, U PENN LAW REV, V153, P510; GOTTLIEB SE, 1988, J LEGIS, V15, P1; Greene J, 2005, YALE LAW J, V114, P1021; HALBFINGER DM, 2003, NY TIMES        0701, pA1; Hasen Richard L., 2004, ELECTION LJ, V3, P626; HASEN RL, 2004, ELECTION LJ, V3, P628; HERRICK R, 1994, J POLIT, V56, P214, DOI 10.2307/2132354; HIRSCH S, 2003, ELECTION LJ, V2, P179; Issacharoff S, 1998, STANFORD LAW REV, V50, P643, DOI 10.2307/1229320; Issacharoff S, 2004, U PENN LAW REV, V153, P541, DOI 10.2307/4150632; Issacharoff S, 2002, HARVARD LAW REV, V116, P593, DOI 10.2307/1342611; Issacharoff S, 2002, HARVARD LAW REV, V116, P684, DOI 10.2307/1342613; Issacharoff Samuel, 2004, WM MARY L REV, V46, P415; Issacharoff Samuel, 2004, W M L REV, V46, P427; Issacharoff Samuel, 1998, STANFORD LAW REV, V50, P680; Issacharoff Samuel, 2004, U PENN LAW REV, V553, P551; KALT JP, 1984, AM ECON REV, V74, P279; KALT JP, 1984, AM ECON REV, V74, P290; Klarman MJ, 1997, GEORGETOWN LAW J, V85, P491; KLARMAN MJ, 1997, GEORGETOWN LAW J, V85, P516; Kubin JC, 1997, TEX LAW REV, V75, P837; KUBIN JC, 1997, TEX LAW REV, V75, P848; LEVMORE S, 1983, VA LAW REV, V69, P563, DOI 10.2307/1072903; LINDE HA, 1976, NEB L REV, V55, P197; LOTT JR, 1987, PUBLIC CHOICE, V52, P169, DOI 10.1007/BF00123875; LOTT JR, 1987, PUB CHOICE, V52, P179; McConnell MW, 2000, HARVARD J LAW PUBL P, V24, P103; NIQUETTE M, 2005, COLUMBUS DISPAT 1104, pB1; ONEILL B, 2005, U MICH JL REFORM, V38, P696; ONEILL B, 2005, U MICH JL REFORM, V38, P683; Ortiz DR, 2004, U PENN LAW REV, V153, P459, DOI 10.2307/4150630; ORTIZ DR, 2004, U PENN LAW REV, V153, P460; Persily N, 2002, HARVARD LAW REV, V116, P649, DOI 10.2307/1342612; Persily Nathaniel, 2002, HARVARD LAW REV, V116, P668; PILDES RH, 2004, HARVARD LAW REV, V118, P28; PILDES RH, 2004, HARVARD LAW REV, V118, P61; Polsby D.D., 1991, YALE LAW POLICY REV, V9, P301; POLSBY DD, 1991, YALE L POLY REV, V9, P306; RARICK E, 2005, LA TIMES        1002, pM5; Rothenberg LS, 2000, AM J POLIT SCI, V44, P316, DOI 10.2307/2669313; SCHUCK PH, 1987, COLUMBIA LAW REV, V87, P1325, DOI 10.2307/1122527; Silverberg K, 1996, TEX LAW REV, V74, P913; SILVERBERG K, 1996, TEX LAW REV, V74, P928; SIMSON GJ, 1979, U PENN LAW REV, V128, P379, DOI 10.2307/3311657; SULLIVAN KM, 1995, HARVARD LAW REV, V109, P78; SULLIVAN KM, 1995, HARVARD LAW REV, V109, P100; THEIS S, 2005, PLAIN DEALER    1009, pB1; TUSHNET M, 1979, WISC LAW REV, P125; TUSHNET M, 1979, WISC LAW REV, P131; 2005, HARV L REV, V118, P2468; 2005, HARV L REV, V118, P2461; [No title captured]; [No title captured]; 2005, HARV L REV, V118, P2320; 2006, HARV L REV, V119, P1169; [No title captured]; 2006, HARV L REV, V119, P1127; 2004, HARV L REV, V117, P1211	87	2	2	0	0	HARVARD LAW REV ASSOC	CAMBRIDGE	GANNETT HOUSE, 1511 MASSACHUSETTS AVE, CAMBRIDGE, MA 02138 USA	0017-811X	2161-976X		HARVARD LAW REV	Harv. Law Rev.	MAR	2006	119	5					1576	1597						22	Law	Social Science Citation Index (SSCI)	Government & Law	026KH					2022-12-18	WOS:000236337300016
J	Roberts, JG				Roberts, John G., Jr.			In memoriam: William H. Rehnquist	HARVARD LAW REVIEW			English	Biographical-Item																			0	2	2	0	0	HARVARD LAW REV ASSOC	CAMBRIDGE	GANNETT HOUSE, 1511 MASSACHUSETTS AVE, CAMBRIDGE, MA 02138 USA	0017-811X	2161-976X		HARVARD LAW REV	Harv. Law Rev.	NOV	2005	119	1					1	2						2	Law	Social Science Citation Index (SSCI)	Government & Law	084IH					2022-12-18	WOS:000240526100001
J	[Anonymous]				[Anonymous]			Jazz has got copyright law and that ain't good	HARVARD LAW REVIEW			English	Article							FAIR-USE											BATTIATA M, 1998, WASH POST MAG   0614, pW15; BENJAMIN L, 1989, MINN LAW REV, V73, P1175; BENJAMIN L, 1989, MINN LAW REV, V73, P1197; BEVILACQUA TM, 2001, CARDOZO ARTS ENT LJ, V19, P305; BEVILACQUA TM, 2001, CARDOZO ARTS ENT LJ, V19, P285; Bunker Matthew D., 2002, COMM L POLY, V7, P9; BUNKER MD, 2002, COMM L POLY, V7, P1, DOI DOI 10.1207/S15326926CLP0701_01; Coltrane John, 1960, GIANT STEPS; Coltrane John, 1961, MY FAVORITE THINGS; COOK R, 2000, NEW STATESMAN   1220, P104; Cotter Thomas F., 2010, BROOK L REV, V12, P701; DOLLIVER M, 2003, ADWEEK          0811, P29; Donat GS, 1997, COLUMBIA LAW REV, V97, P1363, DOI 10.2307/1123438; DYER G, 1996, BUT BEAUTIFUL BOOK J, P185; EDSTROM B, 1998, ART TATUM SOLO BOOK, P33; GATES D, 2001, NEWSWEEK        0108, P61; Ghosh S, 2002, HARV JL TECH, V15, P453; GHOSH S, 2002, HARV JL TECH, V15, P490; HELFER PF, 1966, B COPYRIGHT SOC USA, V14, P137; HELFER PF, 1966, B COPYRIGHT SOC USA, V14, P164; KERNFELD B, 1994, NEW GROVE DICT JAZZ, P1155; Kettle III John R., 2002, FORDHAM INTELL PROP, V12, P1041; KETTLE JR, 2002, FORDHAM INTELL PROP, V12, P1046; King J, 1997, COPYRIGHT L S, V40, P277; KING JZ, 1997, COPYRIGHT L S, V40, P294; Kudon J, 2000, BOSTON U LAW REV, V80, P579; KUDON J, 2000, BU L REV, V80, P611; KWALL RR, 1985, VANDERBILT LAW REV, V38, P1; KWALL RR, 1985, VANDERBILT LAW REV, V38, P17; Leval Pierre N., 1990, HARVARD LAW REV, V103, P1111; LEVAL PN, 1990, HARVARD LAW REV, V103, P1105, DOI 10.2307/1341457; LEVINE LW, 1989, J AM FOLKLORE, V102, P6, DOI 10.2307/540078; LINDEY A, 1952, PLAGIARISM ORIGINALI, P273; LIPPINCOTT B, 1958, JAM SESSION ANTHOLOG, P209; LOREN LP, 2003, CASE W RES L REV, V53, P681; Loren Lydia Pallas, 2003, CASE W RES L REV, V53, P673; MCLAUGHLIN GM, 2001, CARDOZO ARTS ENG LJ, V19, P225; MCLAUGHLIN GM, 2001, CARDOZO ARTS ENG LJ, V19, P227; NELSON MJ, 1974, COPYRIGHT L S, V21, P35; NIMMER NB, 2004, NIMMER COPYRIGHT, V4, P13; ODOWD WH, 1994, HARVARD J LEGIS, V31, P249; ODOWD WH, 1993, HARVARD J LEGIS, V31, P253; RUSSELL R, 1962, SOUND; Sher Chuck, 1988, NEW REAL BOOK; SIEGEL H, 1994, NY LJ           1205, pS3; VOEGTLI NA, 1997, BROOK L REV, V63, P1216; Weinreb LL, 1998, HARVARD LAW REV, V111, P1149, DOI 10.2307/1342160; WEINREB LL, 1998, HARVARD LAW REV, V111, P1171; WILSON SR, 2003, U PITT J TECH L POLY, V6, P1; WILSON SR, 2003, U PITT J TECH L POLY, V6, P19	50	2	2	0	1	HARVARD LAW REV ASSOC	CAMBRIDGE	GANNETT HOUSE, 1511 MASSACHUSETTS AVE, CAMBRIDGE, MA 02138 USA	0017-811X	2161-976X		HARVARD LAW REV	Harv. Law Rev.	APR	2005	118	6					1940	1961						22	Law	Social Science Citation Index (SSCI)	Government & Law	917BX					2022-12-18	WOS:000228432000004
J	Schlanger, M				Schlanger, M			The politics of Inmate Litigation	HARVARD LAW REVIEW			English	Letter									Harvard Univ, Sch Law, Cambridge, MA 02138 USA	Harvard University	Schlanger, M (corresponding author), Harvard Univ, Sch Law, Cambridge, MA 02138 USA.			Schlanger, Margo/0000-0001-7807-3304				Schlanger M, 2003, HARVARD LAW REV, V116, P1555, DOI 10.2307/1342709; 1994, CONTRACT AM BOLD PLA, P145; 2004, HARV L REV, V117, P1661	3	2	2	0	0	HARVARD LAW REV ASSOC	CAMBRIDGE	GANNETT HOUSE, 1511 MASSACHUSETTS AVE, CAMBRIDGE, MA 02138 USA	0017-811X			HARVARD LAW REV	Harv. Law Rev.	JUN	2004	117	8					2799	2803		10.2307/4093420	http://dx.doi.org/10.2307/4093420			5	Law	Social Science Citation Index (SSCI)	Government & Law	829NP					2022-12-18	WOS:000222056100011
