PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Siegumfeldt, IB				Siegumfeldt, IB			Milah: A counter-obituary for Jacques Derrida	SUB-STANCE			English	Article									Univ Copenhagen, DK-1168 Copenhagen, Denmark	University of Copenhagen	Siegumfeldt, IB (corresponding author), Univ Copenhagen, DK-1168 Copenhagen, Denmark.							[Anonymous], 1987, ULYSSE GRAMOPHONE 2; DERRIDA J, 1993, CIRCUMFESSION J DERR; Derrida Jacques, 1992, ACTS LIT	3	3	3	1	1	UNIV WISCONSIN PRESS	MADISON	JOURNAL DIVISION, 1930 MONROE ST, 3RD FL, MADISON, WI 53711 USA	0049-2426			SUB-STANCE	Sub-Stance		2005	34	106					32	34		10.1353/sub.2005.0021	http://dx.doi.org/10.1353/sub.2005.0021			3	Literature	Arts &amp; Humanities Citation Index (A&amp;HCI)	Literature	926FJ					2022-11-27	WOS:000229108200005
J	Taoua, P				Taoua, P			The anti-colonial archive: France and Africa's unfinished business	SUB-STANCE			English	Article									Univ Arizona, Tucson, AZ 85721 USA	University of Arizona	Taoua, P (corresponding author), Univ Arizona, Tucson, AZ 85721 USA.			Taoua, Phyllis/0000-0001-6912-2418				AHLUWALIA P, 2001, POLITICS POST-COLONI; Appiah Kwame Anthony, 1992, MY FATHERS HOUSE; Ashcroft B., 2002, EMPIRE WRITES BACK; Bartolovich C., 2002, MARXISM MODERNITY PO; Bessiere Jean, 2001, LITTERATURES POSTCOL; BETI M, LIST OF WORKS; Bhabha Homi, 1994, LOCATION CULTURE; Bjornson Richard, 1991, AFRICAN QUEST FREEDO; Castle Gregory, 2001, POSTCOLONIAL DISCOUR; Clark P, 2000, RES AFR LITERATURES, V31, P39; Dewitte Philippe, 1985, MOUVEMENTS NEGRES FR; DIRLIK A, 2000, HIST 3 WORLDS POST-E; Durand Pierre, 1986, CETTE MYSTERIEUSE SE; Foucault Michel, 1969, ARCHEOLOGIE SAVOIR; KOM A, 2002, M BETI PARLE; LABOUTANSI S, LIST OF WORKS; LIAUZU C, 1982, ORIGINES TIERS-MONDI; Loomba, 1998, COLONIALISM POSTCOLO; MACGAFFEY W, 1994, RELIG AFRICA, P240; MacGaffey Wyatt, 2000, KONGO POLITICAL CULT; MARTINGRANEL N, 1997, AURE MONDE; Mbembe Achille, 2015, POSTCOLONY; McClintock Anne, 1997, DANGEROUS LIAISONS G; MIGNOLO W, 2000, LOCAL HIST GLOBAL DE; Ross Kristin, 1995, FR CULT STUD, DOI DOI 10.1177/095715589500601810; Said E., 1997, POSTCOLONIAL CRITICI, P126; Shohat Ella, 1997, DANGEROUS LIAISONS G, P501; Slemon Stephen, 1995, POSTCOLONIAL STUD, P45; Werbner R, 1996, POSTCOLONIAL SUBJECT	29	1	1	0	0	UNIV WISCONSIN PRESS	MADISON	JOURNAL DIVISION, 1930 MONROE ST, 3RD FL, MADISON, WI 53711 USA	0049-2426			SUB-STANCE	Sub-Stance		2003		102					146	164						19	Literature	Arts &amp; Humanities Citation Index (A&amp;HCI)	Literature	752BU					2022-11-27	WOS:000187127500011
J	Thomas, D				Thomas, D			Double dialectics: Between universalism and relativism in Enlightenment and postmodern thought	SUB-STANCE			English	Book Review									Univ Iowa, Iowa City, IA 52242 USA	University of Iowa	Thomas, D (corresponding author), Univ Iowa, Iowa City, IA 52242 USA.							MOSCOVICI C, 2002, DOUBLE DIALECTICS UN	1	0	0	0	0	UNIV WISCONSIN PRESS	MADISON	JOURNAL DIVISION, 1930 MONROE ST, 3RD FL, MADISON, WI 53711 USA	0049-2426			SUB-STANCE	Sub-Stance		2003		102					185	189						5	Literature	Arts &amp; Humanities Citation Index (A&amp;HCI)	Literature	752BU					2022-11-27	WOS:000187127500016
J	Branigan, E				Branigan, E			Nearly true: Forking plots, forking interpretations - A response to David Bordwell's 'Film Futures'	SUB-STANCE			English	Article									Univ Calif Santa Barbara, Santa Barbara, CA 93106 USA	University of California System; University of California Santa Barbara	Branigan, E (corresponding author), Univ Calif Santa Barbara, Santa Barbara, CA 93106 USA.							Bordwell D, 2002, SUB-STANCE, P88; CAMERON J, TERMINATOR 2; Dennett D.C., 1991, CONSCIOUSNESS EXPLAI; FISHER K, 2000, METAMORPHING VISUAL, P103; Howitt Peter, 1998, SLIDING DOORS; Munsterberg Hugo, 1916, FILM PSYCHOL STUDY S; SHYAMALAN MN, SIXTH SENSE; Tattersall I, 2001, SCI AM, V285, P56, DOI 10.1038/scientificamerican1201-56; Tykwer T., 1998, LOLA RENNT; WELLES O, ITS ALL TRUE	10	27	27	0	1	UNIV WISCONSIN PRESS	MADISON	JOURNAL DIVISION, 2537 DANIELS ST, MADISON, WI 53718 USA	0049-2426			SUB-STANCE	Sub-Stance		2002		97			SI		105	114						10	Literature	Arts &amp; Humanities Citation Index (A&amp;HCI)	Literature	539EG					2022-11-27	WOS:000174856900011
J	Case, SE				Case, SE			The Emperor's new clothes: The naked body and theories of performance	SUB-STANCE			English	Article							QUEER		Univ Calif Los Angeles, Theater Dept, Los Angeles, CA 90024 USA	University of California System; University of California Los Angeles	Case, SE (corresponding author), Univ Calif Los Angeles, Theater Dept, Los Angeles, CA 90024 USA.							Auslander Philip, 1997, ACTING PERFORMANCE; BUTLER J, 1993, GLQ-J LESBIAN GAY ST, V1, P17, DOI 10.1215/10642684-1-1-17; CASE SE, 1996, DOMAIN MATRIX PERFOR; DIAMOND E, 1989, MOD DRAMA, V32, P58; Diamond E., 1996, PERFORMANCE CULTURAL; FERAL J, 1982, MOD DRAMA, V25, P170, DOI 10.1353/mdr.1982.0036; GOPNIK A, 1998, NEW YORKER      0316, P70; Jones Amelia, 1998, BODY ART PERFORMING; NIETZSCHE F, BIRTH TRAGEDY; Phelan Peggy, 1993, UNMARKED POLITICS PE; Schechner, 1970, DIONYSUS 69; SEDGWICK EK, 1993, GLQ-J LESBIAN GAY ST, V1, P1, DOI 10.1215/10642684-1-1-1; STRYKER S, 1995, EXPOSURE, V30, P38; Stryker Susan, 1999, PLAYING DOLLY TECHNO, P157; Stryker Susan, 1994, GLQ-J LESBIAN GAY ST, V1, P237, DOI DOI 10.1215/10642684-1-3-237; YOSCHIMOTO M, 1996, GLOBAL LOCAL, P107	16	10	10	0	4	UNIV WISCONSIN PRESS	MADISON	JOURNAL DIVISION, 2537 DANIELS ST, MADISON, WI 53718 USA	0049-2426			SUB-STANCE	Sub-Stance		2002		98-99			SI		186	200						15	Literature	Arts &amp; Humanities Citation Index (A&amp;HCI)	Literature	608GT					2022-11-27	WOS:000178838400011
J	Dissanayake, E				Dissanayake, E			Becoming Homo aestheticus: Sources of aesthetic imagination in mother-infant interactions	SUB-STANCE			English	Article							FACIAL EXPRESSIONS; EMOTION; ATTACHMENT; IMITATION; EFFERENCE; LANGUAGE; CULTURE	The common affectional interchange between infants and adults, colloquially called "baby talk," is important to the normal emotional, intellectual, psychosocial, and linguistic development of infants. It also is the source, I suggest, of the aesthetic imagination, which arises developmentally from such features of interactivity as temporal coordination of emotional behavior; crossmodal and supramodal neural processing; and mutually-influenced, playful use of ritualized affiliative signals. Similarities between the developmental course in infants of imitation and pretense and the ways the arts present imaginative representations to mature adults argue not only for the deep-rootedness of our aesthetic nature but for the fundamental importance of intersubjective and affective dimensions of the adapted mind.										ALEXANDER RD, 1989, HUMAN REVOLUTION, P455; BEEBE B, 1986, EMPIRICAL STUDIES PS, P24; Beebe B., 1994, PSYCHOANAL PSYCHOL, V11, P127, DOI [10.1037/h0079530, DOI 10.1037/H0079530]; Beebe B., 1988, PSYCHOANAL PSYCHOL, V5, P305, DOI DOI 10.1037/0736-9735.5.4.305; BEEBE B, 1997, PSYCHOANALYTIC DIALO, V7, P133, DOI DOI 10.1080/10481889709539172; BOWLBY J, 1996, ATTACHMENT; BOYD R, 1995, ETHOL SOCIOBIOL, V16, P125, DOI 10.1016/0162-3095(94)00073-G; Braten S, 1998, INTERSUBJECTIVE COMM; BROTHERS L, 1997, FRIDAYS FOOTPRINT HO; BYRBE RW, 1988, MACHIAVELLIAN INTELL; Chevalier-Skolnikoff S., 1982, P303; Chisholm JS, 1996, HUM NATURE-INT BIOS, V7, P1, DOI 10.1007/BF02733488; Cosmides Leda, 1995, P1199; Daly Martin, 1995, P1269; de Waal Frans B. M., 1997, BONOBO FORGOTTEN APE; DECASPER AJ, 1981, INFANT BEHAV DEV, V4, P19, DOI 10.1016/S0163-6383(81)80004-5; DIPELLEGRINO G, 1992, EXP BRAIN RES, V91, P176, DOI 10.1007/BF00230027; Dissanayake E, 2000, ORIGINS OF MUSIC, P389; DISSANAYAKE E, 2000, RT INTIMACY HOW ARTS; Donald M., 1991, ORIGINS MODERN MIND; Dunbar R., 1996, GROOMING GOSSIP EVOL; DUNBAR RIM, 1993, BEHAV BRAIN SCI, V16, P681, DOI 10.1017/S0140525X00032325; Eibl-Eibesfeldt I., 1989, HUMAN ETHOLOGY; EIBLEIBESFELDT I, 1970, ETHOLOGY BIOLOGY BEH; EKMAN P, 1992, PHILOS T ROY SOC B, V335, P63, DOI 10.1098/rstb.1992.0008; Fernald A., 1992, ADAPTED MIND EVOLUTI, P391, DOI DOI 10.1007/BF00852474; FIELD TM, 1982, SCIENCE, V218, P179, DOI 10.1126/science.7123230; FREEDMAN DG, 1993, J SOC EVOL SYST, V16, P297, DOI 10.1016/1061-7361(93)90037-R; GARDNER H, 1983, COGNITIVE PROCESSING, P169; GRANT EC, 1968, BRIT J MED PSYCHOL, V41, P177, DOI 10.1111/j.2044-8341.1968.tb02022.x; GRANT EC, 1972, NONVERBAL COMMUNICAT, P349; Hauser MD., 1996, EVOLUTION COMMUNICAT; HOFER MA, 1987, CHILD DEV, V58, P633, DOI 10.2307/1130203; HOOFF JAR, 1989, NATURE CULTURE, P120; Humphrey NK., 1978, GROWING POINTS ETHOL, P303; Hundeide K., 1991, HELPING DISADVANTAGE; JEANNEROD M, 1949, BEHAVIORAL BRAIN SCI, V17, P187; JOHNSON MH, 1991, COGNITION, V40, P1, DOI 10.1016/0010-0277(91)90045-6; Kugiumutzakis G, 1993, NEW PERSPECTIVES EAR, P23, DOI DOI 10.1016/B978-0-08-097086-8.23160-7; Lakoff G., 1999, PHILOS FLESH EMBODIE; Leslie Alan M., 1989, DEV PSYCHOPATHOL, V1, P205, DOI DOI 10.1017/S0954579400000407; Locke J, 1993, CHILDS PATH SPOKEN L; MAIN M, 1985, MONOGR SOC RES CHILD, V50, P66, DOI 10.2307/3333827; Meltzoff A. N., 1985, SOCIAL PERCEPTION IN, P1; MELTZOFF AN, 1979, NATURE, V282, P403, DOI 10.1038/282403a0; MELTZOFF AN, 1988, SCIENCE, V219, P1348; Miller GF, 1998, HANDBOOK OF EVOLUTIONARY PSYCHOLOGY, P87; Monnot M, 1999, HUM NATURE-INT BIOS, V10, P415, DOI 10.1007/s12110-999-1010-0; MORRIS DESMOND, 1957, BEHAVIOUR, V11, P1, DOI 10.1163/156853956X00057; Murray L., 1985, SOCIAL PERCEPTION IN, P177; NADEL J, 1996, INFANT BEHAV DEV, V19, P202; PAPOUSEK H, 1997, NONVERBAL COMMUNICAT, P87; PARKER ST, 1985, CURR ANTHROPOL, V26, P617, DOI 10.1086/203350; Rizzolatti G, 1996, COGNITIVE BRAIN RES, V3, P131, DOI 10.1016/0926-6410(95)00038-0; Sacks O., 1996, ANTHROPOLOGIST MARS; SCHELDE T, 1994, ETHOL SOCIOBIOL, V15, P383, DOI 10.1016/0162-3095(94)90010-8; Schore AN., 2016, AFFECT REGULATION OR, DOI DOI 10.4324/9781315680019; SNOW CE, 1977, J CHILD LANG, V4, P1, DOI 10.1017/S0305000900000453; SPANGLER G, 1994, DEV PSYCHOBIOL, V27, P425, DOI 10.1002/dev.420270702; STEEN F, 1999, AB AUTOBIOGRAPHY STU, V13, P7; Stern D., 1995, MOTHERHOOD CONSTELLA; Stern D. N., 1985, SOCIAL PERCEPTION IN, P249; STERN DN, 1975, ANN NY ACAD SCI, V263, P89, DOI 10.1111/j.1749-6632.1975.tb41574.x; STERN DN, 1971, J AMER ACAD CHILD PS, V10, P501, DOI 10.1016/S0002-7138(09)61752-0; TINBERGEN N., 1952, QUART REV BIOL, V27, P1; Tooby John, 1995, P1185; TREVARTHEN C, 1994, DEV PSYCHOPATHOL, V6, P597, DOI 10.1017/S0954579400004703; Trevarthen C., 1992, DIALOGIC ALTERNATIVE, P99; TREVARTHEN C, 1996, AUTISM REGULATION AC, P9; Trevarthen C., 1999, IMITATION INFANCY PP, P127; Trivers RL., 2017, SEXUAL SELECTION DES, P136; TUCKER DM, 1992, MINN SYM CHILD PSYCH, V24, P75; Turner Mark, 1996, LIT MIND; UZGIRIS IC, 1981, INT J BEHAV DEV, V4, P1, DOI 10.1177/016502548100400101; ZAJONC RB, 1985, SCIENCE, V228, P15, DOI 10.1126/science.3883492; ZAJONC RB, 1989, PSYCHOL REV, V96, P395, DOI 10.1037/0033-295X.96.3.395; [No title captured]	77	25	27	0	0	JOHNS HOPKINS UNIV PRESS	BALTIMORE	JOURNALS PUBLISHING DIVISION, 2715 NORTH CHARLES ST, BALTIMORE, MD 21218-4363 USA	0049-2426	1527-2095		SUB-STANCE	Sub-Stance		2001		94-95					85	103						19	Literature	Arts &amp; Humanities Citation Index (A&amp;HCI)	Literature	421RV					2022-11-27	WOS:000168078100006
J	Turner, F				Turner, F			Transcending biological and social reductionism (Phase space)	SUB-STANCE			English	Article								The sociological reductionism of poststructuralist analysis has been refuted by biological science--human beings have a nature that evolved. But biogenetic reductionism leaves out as many awkward facts as psychosocial reductionism does. Close reading of Virginia Woolf's To the Lighthouse indicates an answer to the fundamental question at issue. How did meaning, freedom and value evolve in a physical universe? New understandings of the evolution of time, and chaos-theoretical concepts of emergent self-organization and strange attractors, suggest a redefinition of "survival," the key concept of evolution, which allows plenty of room for freedom, meaning, and value.	Univ Texas Dallas, Dallas, TX 75230 USA	University of Texas System; University of Texas Dallas	Turner, F (corresponding author), Univ Texas Dallas, Dallas, TX 75230 USA.							FRASER JT, 1999, CONFLICT HUMAN VALUE; Woolf V.., LIGHTHOUSE	2	0	0	0	0	UNIV WISCONSIN PRESS	MADISON	JOURNAL DIVISION, 1930 MONROE ST, 3RD FL, MADISON, WI 53711 USA	0049-2426	1527-2095		SUB-STANCE	Sub-Stance		2001		94-95					220	235						16	Literature	Arts &amp; Humanities Citation Index (A&amp;HCI)	Literature	421RV					2022-11-27	WOS:000168078100015
J	Barsky, RF				Barsky, RF			Intellectuals on the couch: The Sokal Hoax and other impostures intellectuelles	SUB-STANCE			English	Article									Univ Western Ontario, London, ON N6A 3K7, Canada	Western University (University of Western Ontario)	Barsky, RF (corresponding author), Univ Western Ontario, London, ON N6A 3K7, Canada.		Barsky, Robert F./AAU-9909-2021	Barsky, Robert F./0000-0002-8606-6902				ARANOWTZ S, 1997, DISSENT          WIN, P107; Boghossian P, 1996, TLS-TIMES LIT SUPPL, P14; BRICMONT J, 1997, MONDE           0114, P15; BRICMONT J, 1998, FREE INQUIRY     FAL, V18, P23; Chomsky N., 1993, YEAR 501 CONQUEST CO; Chomsky Noam, COMMUNICATION; DUCLOS D, 1997, MONDE           0103, P10; Gross PR., 1994, HIGHER SUPERSTITION; GUERLAIN P, 1997, MONDE           0114, P15; HOLQUIST M, 1996, NY REV BOOKS    1003, P54; HOLTON G, 1993, SCI ANTISCI; LATOUR B, 1997, MONDE           0116, P17; LEVISALLES N, 1996, LGOG LIBE       1203; LILLA M, 1998, NY REV BOOKS    0625, P36; RYAN A, 1921, LONDON REV BOOK 0326; SALOMON JJ, 1997, MONDE           0131, P15; SOKAL A, 1996, SOCIAL TEXT      SPR; SOKAL A, 1996, LINGUA FRANC     MAY, V6, P52; Sokal AD, 1996, DISSENT, V43, P93; Sokal Alan David, 1997, IMPOSTURES INTELLECT; SOLLERS P, 1998, NOUVEL OBSERVAT 1008, V1770, P54; TYLER C, 1998, FINANCIAL TIMES  JUN, V27; WEILL N, 1996, MONDE           1220, P1; WEINBERG S, 1996, NEW YORK REV BO 0808, P11	24	0	0	0	0	UNIV WISCONSIN PRESS	MADISON	JOURNAL DIVISION, 2537 DANIELS ST, MADISON, WI 53718 USA	0049-2426			SUB-STANCE	Sub-Stance		1999		88					105	119						15	Literature	Arts &amp; Humanities Citation Index (A&amp;HCI)	Literature	186CK					2022-11-27	WOS:000079709200008
J	Levy, S				Levy, S			The hows and whys of Marcel Benabou's writing	SUB-STANCE			English	Editorial Material																			0	1	1	0	0	UNIV WISCONSIN PRESS	MADISON	JOURNAL DIVISION, 2537 DANIELS ST, MADISON, WI 53718 USA	0049-2426			SUB-STANCE	Sub-Stance		1999		89					3	3						1	Literature	Arts &amp; Humanities Citation Index (A&amp;HCI)	Literature	242NB					2022-11-27	WOS:000082946200001
J	Lorente, C				Lorente, C			Authorial shadows in Marcel Benabou	SUB-STANCE			English	Article									Univ Paris 08, F-93526 St Denis 02, France	Universite Paris-VIII	Lorente, C (corresponding author), Univ Paris 08, F-93526 St Denis 02, France.							BENABOU M, 1997, ETUDES LIT, V29; BENABOU M, JETTE CE LIBRE AVANT; BENABOU M, POURQUOI JE NAI ECRI; BENABOU M, JACOB MENAHEM ET MIM; BORGES JL, PIERRE MENARD AUTEUR; CALVINO I, SI PAR UNE NUIT DHIV; COMPAGNON A, SECONDE MAIN OU TRAV; ELIOT TS, SELECTED PROSE; EMERSON RW, QUOTATION ORIGINALIT; GIRARD R, 1996, MENSONGE ROMANTIQUE; LEJEUNE P, 1988, AUTOBIGORAPHIE BIOGR, P53; MONTAIGNE, OEUVRES; ROSSET C, 1979, OBJET SINGULIER; SARTRE JP, MOTS; Schlanger Judith, 1992, MEMOIRE OEUVRES	15	0	0	0	1	UNIV WISCONSIN PRESS	MADISON	JOURNAL DIVISION, 2537 DANIELS ST, MADISON, WI 53718 USA	0049-2426			SUB-STANCE	Sub-Stance		1999		89					62	73						12	Literature	Arts &amp; Humanities Citation Index (A&amp;HCI)	Literature	242NB					2022-11-27	WOS:000082946200007
