PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	[Anonymous]				[Anonymous]			VERS UN THEATER DIFFERENT - COPFERMAN,E	SUB-STANCE			English	Book Review																		COPFERMAN E, 1976, VERS THEATRE DIFFERE	1	0	0	0	0	UNIV WISCONSIN PRESS	MADISON	JOURNAL DIVISION, 114 N MURRAY ST, MADISON, WI 53715	0049-2426			SUB-STANCE	Sub-Stance		1977		18-1					219	219						1	Literature	Arts &amp; Humanities Citation Index (A&amp;HCI)	Literature	EL371					2022-11-27	WOS:A1977EL37100026
J	STAUBYN, FC				STAUBYN, FC			EAST MEETS WEST - BUTOR,MICHEL 'DANS LES FLAMMES'	SUB-STANCE			English	Article									UNIV PITTSBURGH,PITTSBURGH,PA 15260	Pennsylvania Commonwealth System of Higher Education (PCSHE); University of Pittsburgh								BUTOR M, 1965, IN DEN FLAMMEN GESAN; BUTOR M, 1965, DANS FLAMMES; BUTOR M, 1966, DANS LES FLAMMES CHA, P24; CONZE E, 1971, PETITE BIBLIOTHEQUE, V187, P112; FLAMEL N, LIVRE DES FIGURES HI; LEVISTRAUSS C, 1955, TRISTES TROPIQUES, P442; NORTHROP FSC, 1947, M E W, P347; PAZ O, 1971, CONFIGURATIONS; RHYSDAVIDS TW, 1881, VIWAYA TEXTS MAHAVAG, P134; STAUBYN FC, 1973, C APPROACHES MICHEL	10	0	0	0	0	UNIV WISCONSIN PRESS	MADISON	JOURNAL DIVISION, 114 N MURRAY ST, MADISON, WI 53715	0049-2426			SUB-STANCE	Sub-Stance		1976		15					222	230						9	Literature	Arts &amp; Humanities Citation Index (A&amp;HCI)	Literature	GY214					2022-11-27	WOS:A1976GY21400019
J	HUBERT, RR				HUBERT, RR			'AURORA', ADVENTURE IN WORD AND IMAGE + LEIRIS,MICHEL	SUB-STANCE			English	Article									UNIV CALIF IRVINE,IRVINE,CA 92717	University of California System; University of California Irvine								CHAPPUIS P, 1974, M LEIRIS; LEIRIS M, AURORA; LEIRIS M, BRISEES; MATHEWS JH, 1966, SURREALISM NOVEL; NADEAU M, 1963, M LEIRIS QUADRATURE	5	0	0	0	0	UNIV WISCONSIN PRESS	MADISON	JOURNAL DIVISION, 114 N MURRAY ST, MADISON, WI 53715	0049-2426			SUB-STANCE	Sub-Stance		1975		11-1					74	87						14	Literature	Arts &amp; Humanities Citation Index (A&amp;HCI)	Literature	MB088					2022-11-27	WOS:A1975MB08800006
J	Bowen, J				Bowen, Jeremiah			The Synecdoche of Poiesis	SUB-STANCE			English	Article								Symposium describes a synecdoche in Greek usage, in which a particular poiesis, the making of verses set to music, stands in for the generality of poiesis, production in its entirety. This passage provides Jean-Luc Nancy with a necessary premise for what he calls "the enigma of our time": poiesis and/or techne. But contrary to Socrates's warning, this trope continues to distort our contemporary understanding of production. Nancy inadvertently dramatizes this distortion by mistranslating Plato's account in a manner compatible with the Heideggerian contrariety, but incompatible with Nancy's convictions regarding the labor theory of value. By tendentially foreclosing philosophical consideration of productive relations, and condensing their antagonisms into a universalized mastery, this contrariety tends to frame problems in a manner that avoids politics and elides intersecting asymmetries of power founded on class, race and sex.	[Bowen, Jeremiah] SUNY Buffalo, Buffalo, NY 14260 USA	State University of New York (SUNY) System; State University of New York (SUNY) Buffalo	Bowen, J (corresponding author), SUNY Buffalo, Buffalo, NY 14260 USA.							ARISTOTLE, 1894, ARISTOTLES ETHICA NI; Butler Harold Edgeworth, 1922, I ORATORIA; Cicero M. Tullius, PERSEUS DIGITAL LIB; DeNavas-Walt C., 2012, INCOME POVERTY HLTH; Heidegger Martin, 1939, ESSENCE CONCEPT PHUS, V1; Krell D. Farrell, 1991, NIETZSCHE; Lamb W. R., 1925, SYMPOSIUM; Nancy Jean-Luc, 1996, THE MUSES; Nancy Jean-Luc, 2007, CREATION WORLD GLOBA; Plato John, 1903, PLATONIS OPERA; Politico Staff, 2012, POLITICO; Smith W., 1890, DICT GREEK ROMAN ANT; Yang Jia Lynn, 2012, WASHINGTON POST	13	0	0	0	0	JOHNS HOPKINS UNIV PRESS	BALTIMORE	JOURNALS PUBLISHING DIVISION, 2715 NORTH CHARLES ST, BALTIMORE, MD 21218-4363 USA	0049-2426	1527-2095		SUB-STANCE	Sub-Stance		2020	49	1					3	24						22	Literature	Arts &amp; Humanities Citation Index (A&amp;HCI)	Literature	KU6IW					2022-11-27	WOS:000519819500001
J	Zimmerman, G				Zimmerman, Guy			Devlin's Love: Autopoiesis and Harold Pinter's Ashes to Ashes	SUB-STANCE			English	Article						Pinter; autopoiesis; enactivism; aporia; tragic irony; Beckett; neoliberalism; paradox		This paper uses the concept of autopoiesis to describe Harold Pinter's approach to dramatic composition. The playwright strikes a first note and allows the play to emerge from the resonances and feedback patterns of that note. This autopoietical aesthetic, I argue, began with Samuel Beckett and flows forward through an important lineage of postwar drama. Because of its compression and its self-referential qualities, Pinter's Ashes to Ashes shows how Pinter's process relates both to the enactivist model of cognition, and to important strains of poststructuralist thought. In Ashes to Ashes, for example, the playwright deploys the fundamental form-generating characteristics of the theatre space itself in this contest against the totalizing schemata of neoliberalism.	[Zimmerman, Guy] Calif State Polytech Univ Pomona, Liberal Studies Dept, Pomona, CA 91768 USA; [Zimmerman, Guy] Calif State Polytech Univ Pomona, Theatre Dept, Pomona, CA 91768 USA	California State University System; California State Polytechnic University Pomona; California State University System; California State Polytechnic University Pomona	Zimmerman, G (corresponding author), Calif State Polytech Univ Pomona, Liberal Studies Dept, Pomona, CA 91768 USA.; Zimmerman, G (corresponding author), Calif State Polytech Univ Pomona, Theatre Dept, Pomona, CA 91768 USA.							Agamben G., 1995, HOMOSACER SOVEREIGN; [Anonymous], 2014, J CONT INQ; Beckett, 2009, ENDGAME ACT WORDS; Bensky Larry, 1966, PARIS REV; Billington Michael., 2001, GUARDIAN; Brown W, 2015, NEAR FUTURES, P1; Butler J, 2005, GIVING AN ACCOUNT OF ONESELF, P1, DOI 10.5422/fso/9780823225033.001.0001; Colebrook Claire, 2011, NEGOTIATIONS INT J L, V1, P7; Coward Harold G., 1992, DERRIDA NEGATIVE THE; Cusak Anna-Marie, 2008, PROGRESSIVE; Dawkins R., 1990, SELFISH GENE; DeLanda M., 1997, 1000 YEARS NONLINEAR; Deleuze G., 1987, 1000 PLATEAUS; Deleuze Gilles, 1986, KAFKA MINOR LIT; Deleuze Gilles, 1968, DIFFERENCE REPETITIO; Derrida Jacques, 2008, BEAST SOVEREIGN, V1; European Commission, 2018, FL464 FAK NEWS DIS O; Gatti L, 2014, J BECKETT STUD, V23, P222, DOI 10.3366/jobs.2014.0105; Gilder George F., 1981, WEALTH AND POVERTY; Goux Jean-Joseph, 1996, COINERS LANGUAGE; GOUX JJ, 1990, YALE FR STUD, P206, DOI 10.2307/2930123; HAYLES NK, 1995, CULT CRIT, P71, DOI 10.2307/1354433; Hayles y otros, 1995, CULT CRIT, P7; Herzogenrath Bernd, 2009, DELEUZE GUATTARI ECO; Irigaray L., 1985, SPECULUM OTHER WOMAN; Irigaray Luce, 1997, MIMESIS MASOCHISM MI; Juarrero Alicia, 2002, DYNAMICS ACTION INTE; Keliher Macabe, 2012, POSSIBLE FUTURES JUL; Kingsbury P, 2007, SOC CULT GEOGR, V8, P235, DOI 10.1080/14649360701360196; Loy D. R., 2002, BUDDHIST HIST W STUD; Loy David, 1992, DERRIDA NEGATIVE THE; LUHMAN N, 1995, CULT CRIT, P37, DOI 10.2307/1354444; Luhmann Niklas, 1990, SELFORGANIZATION; Maturana H.R., 1980, AUTOPOIESIS COGNITIO, P59; McConachie Bruce, 2015, EVOLUTION COGNITION; Menary R, 2010, PHENOMENOL COGN SCI, V9, P605, DOI 10.1007/s11097-010-9185-8; Menke Christoph, 2009, TRAGIC PLAY IRONY TH; Moeller H-G, 2006, LUHMANN EXPLAINED SO; Noe A, 2015, STRANGE TOOLS ART HU; Paglieri F, 2012, ADV CONSC RES, V86, P1, DOI 10.1075/aicr.86; Pasquinelli Elena, 2006, J AESTHET EDUC, V40, P33; Pinter Harold, 2005, NOBEL PRIZE     1207; Pinter Harold, 2008, ASHES ASHES OTHER PL; Protevi John, 2013, LIFE WAR EARTH DELEU; Rebman JK, 2016, PLOS ONE, V11, DOI 10.1371/journal.pone.0164433; Robinson Mark, 1999, THEATRE MARIA IRENE; Seaford Richard, 2004, MONEY EARLY GREEK MI; Thompson E., 2014, WAKING DREAMING BEIN, DOI 10.7312/thom13709; Thompson Evan, 2010, MIND LIFE BIOL PHENO; Unger Roberto Mangabeira, 2009, SELF AWAKENED PRAGMA; Varela F., 1996, J CONSCIOUSNESS STUD, V3, P330; Varela FJ., 1991, EMBODIED MIND REVISE; Vernant Jean-Pierre, 1988, MYTH TRAGEDY ANCIENT; Wiles David, 1999, TRAGEDY ATHENS PERFO; WOLFE C, 1995, CULT CRIT, P33, DOI 10.2307/1354432; Wolfe Cary, 2013, LAW HUMANS OTHER ANI	56	2	2	0	2	JOHNS HOPKINS UNIV PRESS	BALTIMORE	JOURNALS PUBLISHING DIVISION, 2715 NORTH CHARLES ST, BALTIMORE, MD 21218-4363 USA	0049-2426	1527-2095		SUB-STANCE	Sub-Stance		2020	49	1					74	96						23	Literature	Arts &amp; Humanities Citation Index (A&amp;HCI)	Literature	KU6IW					2022-11-27	WOS:000519819500004
J	Hall, C				Hall, Chris			(Auto)immunity, Racism, and Crisis: From the Biopolitical to the Allopolitical	SUB-STANCE			English	Article								This article traces the intersection within biopolitical thought of immunity/autoimmunity and race/racism, bringing Foucault's biopolitics to bear on the ongoing family separation crisis in the southern US, a result of the Trump administration's policy of immigration deterrence. Through an understanding of this policy as one of autoimmune racism, I argue, it is possible to open the political to the radical to-come. The article therefore moves from the biopolitical, to what I term the allopolitical, an unknown politics of alterity that allows for the welcoming of political alternatives capable of bringing about a profound disruption of the racist, immunitary order.	[Hall, Chris] Univ Kansas, Lawrence, KS 66045 USA	University of Kansas	Hall, C (corresponding author), Univ Kansas, Lawrence, KS 66045 USA.			Hall, Chris/0000-0002-5629-8147				Agamben G., 2008, STATE EXCEPTION; Agamben G., 1998, HOMOSACER SOVEREIGN; Anderson N, 2017, PARALLAX, V23, P94, DOI 10.1080/13534645.2016.1261664; [Anonymous], 2018, ATT GEN ANN ZER TOL; [Anonymous], 2018, CBS NEWS; Arendt H., 2003, RESPONSIBILITY JUDGM; Arendt Hannah, CAMPBELL SITZE, P82; Balibar E., 1991, RACE NATION CLASS AM, P217; Balibar E, 2008, PMLA, V123, P1630, DOI 10.1632/pmla.2008.123.5.1630; Barry Dan, 2018, NY TIMES; Campbell Timothy C., 2011, IMPROPER LIFE TECHNO; Campbell Timothy C, CAMPBELL SITZE, P1; Campbell Timothy C., BIOS IMMUNITY LIFE T, pvii; Ciavolella R, 2015, FOCAAL, P3, DOI 10.3167/fcl.2015.720101; Cohen M. A., 2018, BOSTON GLOBE; Deleuze G., 2009, ANTI OEDIPUS CAPITAL; Derrida J., 2003, PHILOS TIME TERROR D; Derrida Jacques, 2005, ROGUES 2 ESSAYS REAS; Derrida Jacques., 2002, ACTS RELIG, P42; Esposito R., 2008, BIOS BIOPOLITICS PHI; Foucault Michel, 2013, LECT WILL KNOW LECT; Freire P., 2004, PEDAGOGY OPPRESSED; Giroux H., 2018, TRUTHDIG 0802 TRUTHDIG 0802; HARAWAY DONNA, 1991, SIMIANS CYBORGS WOME, P203; Hardt M., 2009, COMMONWEALTH; Jordan Miriam, 2018, NY TIMES; Kopan Tal, 2018, CNN POLITICS    0616; Lewis M, 2015, PHILOS MED, V120, P213, DOI 10.1007/978-94-017-9870-9_13; Lugones M, 2010, HYPATIA, V25, P742, DOI 10.1111/j.1527-2001.2010.01137.x; Maturana H.R., 1980, AUTOPOIESIS COGNITIO, P59; Mbembe Achille, 2013, BIOPOLITICS READER, P161; Miroff N., 2018, WASHINGTON POST; Mitchell P, 2017, PARALLAX, V23, P77, DOI 10.1080/13534645.2016.1261663; Prasad Ritu, 2018, BBC NEWS; Purakayastha AS, 2014, PARALLAX, V20, P49, DOI 10.1080/13534645.2014.896549; RASCH W, 2004, SOVEREIGNTY ITS DISC; Waxman O., 2018, TIME; Wolfe C, 2017, PARALLAX, V23, P108, DOI 10.1080/13534645.2016.1261665	38	0	0	0	1	JOHNS HOPKINS UNIV PRESS	BALTIMORE	JOURNALS PUBLISHING DIVISION, 2715 NORTH CHARLES ST, BALTIMORE, MD 21218-4363 USA	0049-2426	1527-2095		SUB-STANCE	Sub-Stance		2019	48	3					82	100						19	Literature	Arts &amp; Humanities Citation Index (A&amp;HCI)	Literature	JN5GO					2022-11-27	WOS:000496927000004
J	Zolkos, M				Zolkos, Magdalena			Bereft of Interiority: Motifs of Vegetal Transformation, Escape and Fecundity in Luce Irigaray's Plant Philosophy and Han Kang's The Vegetarian	SUB-STANCE			English	Article								Recent consideration of plants as philosophic subjects has challenged the Aristotelian claim that plants constitute the simplest form of life and that they are soulless creatures, 'bereft of interiority.' Instead, philosophers such as Luce Irigaray and Michael Marder have proposed a post-metaphysical conception of the human subject, recognized as continuous with, and contiguous to, the vegetal life. In this article, I focus on Irigaray's ethics of reciprocity and desire through analysis of her 'plant-idioms' of fecundity, touch, roots and breath. Next, I situate Irigaray's philosophic categories alongside a recent work of feminist eco-fiction, Han Kang's The Vegetarian. Against the interpretations of the novel as narrative of self-attrition and psychosis, I read The Vegetarian through the lens of three vegetal figures found in Irigaray's work: (i) a female transformation into a tree; (ii) an escape into the vegetal world as a way of traversing patriarchal roles and expectations; and (iii) fecundity as a figure of desire beyond procreation.	[Zolkos, Magdalena] Goethe Univ Frankfurt, Frankfurt, Germany; [Zolkos, Magdalena] Alexander von Humboldt Fdn, Berlin, Germany	Goethe University Frankfurt	Zolkos, M (corresponding author), Goethe Univ Frankfurt, Frankfurt, Germany.; Zolkos, M (corresponding author), Alexander von Humboldt Fdn, Berlin, Germany.							Ashcroft J, 2017, RELATIONAL LENS: UNDERSTANDING, MEASURING AND MANAGING STAKEHOLDER RELATIONSHIPS, P123; Berlant Lauren, 2011, CRUEL OPTIMISM; BRENNAN T, 2003, TRANSMISSION AFFECT; Calvo P, 2016, SYNTHESE, V193, P1323, DOI 10.1007/s11229-016-1040-1; Desmond William, 1990, PHILOS ITS OTHERS; Deutscher Penelope, 2002, POLITICS IMPOSSIBLE; Gibson P, 2018, COVERT PLANTS VEGETA, DOI 10.21983/P3.0207.1.00; Gibson Prudence, 2018, PLANT CONTRACT ARTS; Gill-Peterson Julian, 2013, BORN INTERVAL IRIGAR; Hall M., 2011, PLANTS PERSONS PHILO; Hill R, 2016, PHILOS COMPASS, V11, P390, DOI 10.1111/phc3.12331; Hirsh E., 1995, HYPATIA, V10, P93, DOI DOI 10.1111/j.1527-2001.1995.tb01371.x; Irigaray L., 2016, VEGETAL BEING 2 PHIL; IRIGARAY L, 2014, GUARDIAN; Irigaray L., 2017, BE BORN GENESIS NEW; Irigaray L, 2008, SHARING THE WORLD; Irigaray L., 1986, FACE FACE LEVINAS, P231; Irigaray Luce, 1992, ELEMENTAL PASSIONS; Irigaray Luce, 1993, ETHICS SEXUAL DIFFER; Kang Han, 2016, GRANTA, V133; Kang Han, 2016, HUMAN ACTS; Kang Han., 2015, THE VEGETARIAN; Keetly Dawn, 2016, PLANT HORROR APPROAC; Khakpour Porochista, 2016, NEW YORK TIMES; Laist Randy, 2013, PLANTS LIT ESSAYS CR; Levinas E., 2003, ESCAPE; MAHER C., 2017, PLANT MINDS PHILOS D; Marder M, 2011, CONT PHILOS REV, V44, P469, DOI DOI 10.1007/S11007-011-9201-X; Marder Michael, 2013, POLITICS ONE CONCEPT, P115; Marder Michael., 2014, PHILOS PLANT INTELLE; Myers Natasha, 2015, NATURECULTURE, V3, P35; Nealon Jeffrey T., 2015, PLANT THEORY BIOPOWE; Pascal Julia, 2015, INDEPENDENT; Peschel Sabine, 2016, DEUTCHE WELLE   0912; Singer E, 2016, SCI DATA, V3, DOI 10.1038/sdata.2016.81; Wohlleben P., 2018, HIDDEN LIFE TREES; Zeidner Lisa, 2016, WASHINGTON POST	37	3	3	0	1	JOHNS HOPKINS UNIV PRESS	BALTIMORE	JOURNALS PUBLISHING DIVISION, 2715 NORTH CHARLES ST, BALTIMORE, MD 21218-4363 USA	0049-2426	1527-2095		SUB-STANCE	Sub-Stance		2019	48	2					102	118						17	Literature	Arts &amp; Humanities Citation Index (A&amp;HCI)	Literature	IQ3FA					2022-11-27	WOS:000480635500007
J	Kerley, M				Kerley, Mitchell			The End of Oulipo?: An Attempt to Exhaust a Movement	SUB-STANCE			English	Book Review									[Kerley, Mitchell] Univ Melbourne, Melbourne, Vic, Australia	University of Melbourne	Kerley, M (corresponding author), Univ Melbourne, Melbourne, Vic, Australia.							Elkin Lauren, 2013, END OULIPO ATTEMPT E	1	0	0	0	0	JOHNS HOPKINS UNIV	LAUREL	APPLIED PHYSICS LABORATORY ATTN: TECHNICAL DIGEST JOHN HOPKINS RD, BLDG 1W-131, LAUREL, MD 20723-6099 USA	0049-2426	1527-2095		SUB-STANCE	Sub-Stance		2018	47	1					156	164						9	Literature	Arts &amp; Humanities Citation Index (A&amp;HCI)	Literature	GJ7IK					2022-11-27	WOS:000435559800012
J	Fillion, R				Fillion, Real			Assemblages and the Un-Timeliness of Democratic Commitments	SUB-STANCE			English	Article									[Fillion, Real] Univ Sudbury, Philosophy, Sudbury, ON, Canada	Laurentian University	Fillion, R (corresponding author), Univ Sudbury, Philosophy, Sudbury, ON, Canada.							Badiou A, 2008, NEW LEFT REV, P29; BLUM ME, 2006, CONTINUITY QUANTUM C; Burbidge JW, 2007, HEGELS SYSTEMATIC CONTINGENCY, P1, DOI 10.1057/9780230590366; Cheah P, 2013, TOP HIST PHIL, P97; Connolly W., 2005, PLURALISM; Connolly W.E., 2008, CAPITALISM CHRISTIAN; Connolly WE, 2008, BRIT J POLIT INT REL, V10, P241, DOI 10.1111/j.1467-856x.2007.00313.x; DeLanda M., 2006, NEW PHILOS SOC ASSEM; Deleuze G., 1987, 1000 PLATEAUS; Fillion R, 2005, HIST THEORY, V44, P47, DOI 10.1111/j.1468-2303.2005.00342.x; Foucault Michel, 1969, ARCHEOLOGIE SAVOIR; Hardt M., 2009, COMMONWEALTH; Hardt M., 2004, MULTITUDE WAR DEMOCR; Hardt M., 2010, IDEA COMMUNISM; Hardt Michael, 2001, EMPIRE; Hegel G.W.F., 1969, HEGELS SCI LOGIC; Marx K., 1994, SELECTED WRITINGS; May T., 2008, POLITICAL THOUGHT J; Ranciere J., 2010, IDEA COMMUNISM; Ranciere J., 2015, DISSENSUS; Ranciere Jacques, 1999, DISAGREEMENT; Tampio N, 2009, EUR J POLIT THEORY, V8, P383, DOI 10.1177/1474885109103850; Winfield RD, 2014, HEGEL AND THE FUTURE OF SYSTEMATIC PHILOSOPHY, P1, DOI 10.1057/9781137442383	23	0	0	0	1	UNIV WISCONSIN PRESS	MADISON	JOURNAL DIVISION, 1930 MONROE ST, 3RD FL, MADISON, WI 53711 USA	0049-2426	1527-2095		SUB-STANCE	Sub-Stance		2017	46	1					111	123						13	Literature	Arts &amp; Humanities Citation Index (A&amp;HCI)	Literature	EO3SA					2022-11-27	WOS:000396613400007
J	Kohlert, FB				Kohlert, Frederik Byrn			Comics, Form, and Anarchy	SUB-STANCE			English	Article									[Kohlert, Frederik Byrn] Univ East Anglia, Norwich, Norfolk, England	University of East Anglia	Kohlert, FB (corresponding author), Univ East Anglia, Norwich, Norfolk, England.		Køhlert, Frederik Byrn/A-8364-2013	Køhlert, Frederik Byrn/0000-0001-7567-0138				[Anonymous], 1989, TRASHM LIV COLL STOR; Banita G, 2010, COMICS OF CHRIS WARE: DRAWING IS A WAY OF THINKING, P177; Cohen M, 2007, INT REV SOC HIST, V52, P35, DOI 10.1017/S0020859007003112; Cohn Jesse, 2007, BELPHEGOR, V6; Deleuze G., 1987, 1000 PLATEAUS CAPITA; Demson Michael, 2011, J GRAPHIC NOVELS COM, P151; Dittmer J, 2015, CULT GEOGR, V22, P427, DOI 10.1177/1474474014536518; Ecke Jochen, 2010, COMICS NEXUS CULTURE, P7; Estren Mark James, 1974, HIST UNDERGROUND COM; Franks B, 2007, J POLIT IDEOL, V12, P127, DOI 10.1080/13569310701284985; Gabilliet J-P, 2010, COMICS MEN CULTURAL; Gordon U, 2007, J POLIT IDEOL, V12, P29, DOI 10.1080/13569310601095598; Groensteen T, 2007, SYSTEM OF COMICS, P1; Groensteen T., 2013, COMICS AND NARRATION; Hajdu David, 2008, 10 CENT PLAGUE GREAT; Harper Cliff, 1979, CLASS WAR COMIX NO 1; Kinney Jay, 2013, ANARCHY COMICS COMPL; Newman Saul, 2001, BAKUNIN LACAN ANTIAU; Nyberg A.K., 1998, SEAL APPROVAL HIST C; Sousanis N., 2015, UNFLATTENING; Wright B. W., 2001, COMIC BOOK NATION TR; Young Art, 1939, ART YOUNG HIS LIFE T	22	0	0	0	0	JOHNS HOPKINS UNIV PRESS	BALTIMORE	JOURNALS PUBLISHING DIVISION, 2715 NORTH CHARLES ST, BALTIMORE, MD 21218-4363 USA	0049-2426	1527-2095		SUB-STANCE	Sub-Stance		2017	46	2					11	32		10.3368/ss.46.2.11	http://dx.doi.org/10.3368/ss.46.2.11			22	Literature	Arts &amp; Humanities Citation Index (A&amp;HCI)	Literature	FF2GD					2022-11-27	WOS:000408715000002
